##NAMES=Asgruvanite-(Ce)
##RRUFFID=R250147
##IDEAL CHEMISTRY=Ce_16_Ca_5_Al(SiO_4_)_6_(AsO_3_)_8_(CO_3_)_2_Cl_4_F_3_(OH)_2_
##LOCALITY=Åsgruvan Fe-skarn deposit, Norberg, Västmanland, Sweden
##OWNER=Swedish Museum of Natural History
##SOURCE=Dan Holtstam
##DESCRIPTION=Greyish green to nearly colourless anhedral, occasionally elongated grains.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R250147
##MEASURED CHEMISTRY=[(Ce_4.89_Nd_3.36_Y_3.34_La_1.84_Pr_0.81_Sm_0.67_Gd_0.53_Dy_0.32_Er_0.15_Yb_0.08_Tb_0.07_Ho_0.06_Tm_0.02_Lu_0.01_)Ca_4.85_Pb_0.01_](Al_0.55_Fe_0.22_Cr_0.18_)(Si_6.00_P_0.06_)(As_3_C_7.95_Sb_3_C_0.04_)(C_1.88_S_4_C_0.12_)[(Cl_3.82_F_0.18_)(F_1.54_OH_1.46_)(OH)_2_] ; Based on 38 cations, with C calculated from (C+S)=2 apfu (atoms per formula unit) and OH from (Cl+F+OH)=9 apfu
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=515
   609.3300     ,   19055.00    
   611.1920     ,   18905.00    
   613.0530     ,   18820.00    
   614.9140     ,   18609.00    
   616.7740     ,   18673.00    
   618.6340     ,   18542.00    
   620.4960     ,   18445.00    
   622.3550     ,   18369.00    
   624.2140     ,   18240.00    
   626.0730     ,   18034.00    
   627.9310     ,   18242.00    
   629.7890     ,   18127.00    
   631.6460     ,   17938.00    
   633.5030     ,   17800.00    
   635.3600     ,   17777.00    
   637.2160     ,   17800.00    
   639.0720     ,   17480.00    
   640.9280     ,   17404.00    
   642.7830     ,   17509.00    
   644.6380     ,   17422.00    
   646.4920     ,   17233.00    
   648.3460     ,   17111.00    
   650.2000     ,   17197.00    
   652.0540     ,   16942.00    
   653.9070     ,   16936.00    
   655.7590     ,   16964.00    
   657.6100     ,   16743.00    
   659.4620     ,   16560.00    
   661.3130     ,   16615.00    
   663.1640     ,   16467.00    
   665.0150     ,   16478.00    
   666.8660     ,   16248.00    
   668.7160     ,   16332.00    
   670.5660     ,   16388.00    
   672.4150     ,   16272.00    
   674.2620     ,   16060.00    
   676.1110     ,   16088.00    
   677.9590     ,   16195.00    
   679.8070     ,   16205.00    
   681.6540     ,   16178.00    
   683.5020     ,   16129.00    
   685.3490     ,   16272.00    
   687.1930     ,   16313.00    
   689.0390     ,   16342.00    
   690.8850     ,   16495.00    
   692.7300     ,   16549.00    
   694.5750     ,   16435.00    
   696.4180     ,   16933.00    
   698.2620     ,   16811.00    
   700.1060     ,   16864.00    
   701.9500     ,   17000.00    
   703.7910     ,   17053.00    
   705.6330     ,   17190.00    
   707.4760     ,   17347.00    
   709.3180     ,   17609.00    
   711.1580     ,   17557.00    
   712.9990     ,   17821.00    
   714.8400     ,   18068.00    
   716.6790     ,   17939.00    
   718.5190     ,   18149.00    
   720.3590     ,   18395.00    
   722.1990     ,   18369.00    
   724.0360     ,   18510.00    
   725.8750     ,   18624.00    
   727.7130     ,   18848.00    
   729.5490     ,   18957.00    
   731.3870     ,   19136.00    
   733.2220     ,   19400.00    
   735.0590     ,   19604.00    
   736.8960     ,   19794.00    
   738.7300     ,   19987.00    
   740.5660     ,   20181.00    
   742.4020     ,   20443.00    
   744.2350     ,   20706.00    
   746.0700     ,   21170.00    
   747.9020     ,   21328.00    
   749.7370     ,   21927.00    
   751.5680     ,   22286.00    
   753.4020     ,   22596.00    
   755.2350     ,   22981.00    
   757.0660     ,   23433.00    
   758.8980     ,   23791.00    
   760.7280     ,   24197.00    
   762.5600     ,   24618.00    
   764.3890     ,   24446.00    
   766.2200     ,   24634.00    
   768.0480     ,   24588.00    
   769.8780     ,   24391.00    
   771.7060     ,   23813.00    
   773.5360     ,   23376.00    
   775.3630     ,   22807.00    
   777.1920     ,   22224.00    
   779.0180     ,   21343.00    
   780.8460     ,   20755.00    
   782.6720     ,   20097.00    
   784.4990     ,   19681.00    
   786.3240     ,   19127.00    
   788.1480     ,   18527.00    
   789.9750     ,   18097.00    
   791.7990     ,   17620.00    
   793.6240     ,   17478.00    
   795.4470     ,   17074.00    
   797.2700     ,   16553.00    
   799.0940     ,   16306.00    
   800.9170     ,   16034.00    
   802.7400     ,   15992.00    
   804.5620     ,   15587.00    
   806.3830     ,   15363.00    
   808.2050     ,   15162.00    
   810.0260     ,   14987.00    
   811.8460     ,   14829.00    
   813.6670     ,   14771.00    
   815.4860     ,   14688.00    
   817.3050     ,   14344.00    
   819.1260     ,   14458.00    
   820.9440     ,   14135.00    
   822.7620     ,   14121.00    
   824.5790     ,   14177.00    
   826.3980     ,   14013.00    
   828.2150     ,   14020.00    
   830.0310     ,   13946.00    
   831.8470     ,   13955.00    
   833.6650     ,   14016.50    
   835.4800     ,   14078.00    
   837.2950     ,   14230.00    
   839.1100     ,   14228.00    
   840.9260     ,   14276.00    
   842.7400     ,   14185.00    
   844.5540     ,   14379.00    
   846.3670     ,   14124.00    
   848.1800     ,   14379.00    
   849.9940     ,   14437.00    
   851.8060     ,   14412.00    
   853.6180     ,   14482.00    
   855.4300     ,   14421.00    
   857.2410     ,   14702.00    
   859.0510     ,   14699.00    
   860.8620     ,   14713.00    
   862.6740     ,   14910.00    
   864.4830     ,   14905.00    
   866.2930     ,   15011.00    
   868.1020     ,   15227.00    
   869.9100     ,   15387.00    
   871.7180     ,   15728.00    
   873.5260     ,   15846.00    
   875.3340     ,   15851.00    
   877.1410     ,   16149.00    
   878.9480     ,   16263.00    
   880.7540     ,   16090.00    
   882.5630     ,   16009.00    
   884.3680     ,   15733.00    
   886.1740     ,   15569.00    
   887.9790     ,   15036.00    
   889.7830     ,   14618.00    
   891.5880     ,   14283.00    
   893.3920     ,   13853.00    
   895.1950     ,   13451.00    
   896.9990     ,   13257.00    
   898.8020     ,   13065.00    
   900.6040     ,   12664.00    
   902.4070     ,   12553.00    
   904.2080     ,   12415.00    
   906.0080     ,   12263.00    
   907.8090     ,   12020.00    
   909.6100     ,   12104.00    
   911.4110     ,   11863.00    
   913.2110     ,   11784.00    
   915.0100     ,   11721.00    
   916.8100     ,   11539.00    
   918.6090     ,   11496.00    
   920.4080     ,   11354.00    
   922.2060     ,   11323.00    
   924.0040     ,   11072.00    
   925.8000     ,   11115.00    
   927.5970     ,   10940.00    
   929.3940     ,   10938.00    
   931.1910     ,   10683.00    
   932.9870     ,   10760.00    
   934.7830     ,   10615.00    
   936.5790     ,   10734.00    
   938.3720     ,   10540.00    
   940.1670     ,   10601.00    
   941.9620     ,   10505.00    
   943.7560     ,   10465.00    
   945.5500     ,   10352.00    
   947.3410     ,   10191.00    
   949.1340     ,   10313.00    
   950.9270     ,   10159.00    
   952.7200     ,   10149.00    
   954.5100     ,   10044.00    
   956.3010     ,   9957.000    
   958.0930     ,   9956.000    
   959.8840     ,   9974.000    
   961.6730     ,   9758.000    
   963.4630     ,   9757.000    
   965.2530     ,   9675.000    
   967.0410     ,   9606.000    
   968.8300     ,   9555.000    
   970.6190     ,   9676.000    
   972.4080     ,   9548.000    
   974.1940     ,   9366.000    
   975.9820     ,   9240.000    
   977.7700     ,   9270.000    
   979.5550     ,   9152.000    
   981.3420     ,   9209.000    
   983.1260     ,   9106.000    
   984.9130     ,   9064.000    
   986.6980     ,   9047.000    
   988.4820     ,   8915.000    
   990.2670     ,   8979.000    
   992.0520     ,   8758.000    
   993.8340     ,   8759.000    
   995.6190     ,   8695.000    
   997.4000     ,   8628.000    
   999.1840     ,   8635.000    
   1000.960     ,   8609.000    
   1002.750     ,   8501.000    
   1004.530     ,   8461.000    
   1006.310     ,   8380.000    
   1008.090     ,   8317.000    
   1009.870     ,   8223.000    
   1011.650     ,   8322.000    
   1013.430     ,   8284.000    
   1015.210     ,   8129.000    
   1016.990     ,   8031.000    
   1018.770     ,   7982.000    
   1020.550     ,   7928.000    
   1022.320     ,   7750.000    
   1024.100     ,   7592.000    
   1025.880     ,   7622.000    
   1027.660     ,   7592.000    
   1029.430     ,   7486.000    
   1031.210     ,   7390.000    
   1032.980     ,   7494.000    
   1034.760     ,   7329.000    
   1036.530     ,   7396.000    
   1038.310     ,   7242.000    
   1040.080     ,   7311.000    
   1041.860     ,   7306.000    
   1043.630     ,   7286.000    
   1045.400     ,   7296.000    
   1047.180     ,   7441.000    
   1048.950     ,   7404.000    
   1050.720     ,   7581.000    
   1052.490     ,   7849.000    
   1054.270     ,   8085.000    
   1056.040     ,   8244.000    
   1057.810     ,   8445.000    
   1059.580     ,   8800.000    
   1061.350     ,   9153.000    
   1063.120     ,   9131.000    
   1064.890     ,   9293.000    
   1066.660     ,   9197.000    
   1068.420     ,   9024.000    
   1070.190     ,   8905.000    
   1071.960     ,   8795.000    
   1073.730     ,   8732.000    
   1075.500     ,   8703.000    
   1077.260     ,   8595.000    
   1079.030     ,   8627.000    
   1080.800     ,   8532.000    
   1082.560     ,   8645.000    
   1084.330     ,   8660.000    
   1086.090     ,   8477.000    
   1087.850     ,   8141.000    
   1089.620     ,   7894.000    
   1091.380     ,   7704.000    
   1093.150     ,   7596.000    
   1094.910     ,   7488.000    
   1096.670     ,   7192.000    
   1098.440     ,   6946.000    
   1100.200     ,   6766.000    
   1101.960     ,   6716.000    
   1103.720     ,   6533.000    
   1105.480     ,   6389.000    
   1107.240     ,   6234.000    
   1109.000     ,   6159.000    
   1110.760     ,   5949.000    
   1112.520     ,   5978.000    
   1114.280     ,   5905.000    
   1116.040     ,   5849.000    
   1117.800     ,   5751.000    
   1119.560     ,   5717.000    
   1121.320     ,   5588.000    
   1123.080     ,   5632.000    
   1124.830     ,   5497.000    
   1126.590     ,   5581.000    
   1128.350     ,   5509.000    
   1130.100     ,   5375.000    
   1131.860     ,   5510.000    
   1133.610     ,   5479.000    
   1135.370     ,   5391.000    
   1137.120     ,   5375.000    
   1138.880     ,   5479.000    
   1140.630     ,   5338.000    
   1142.390     ,   5176.000    
   1144.140     ,   5259.000    
   1145.890     ,   5343.000    
   1147.640     ,   5220.000    
   1149.400     ,   5253.000    
   1151.150     ,   5220.000    
   1152.900     ,   5261.000    
   1154.650     ,   4955.000    
   1156.400     ,   5040.000    
   1158.150     ,   5059.000    
   1159.910     ,   4956.000    
   1161.650     ,   4953.000    
   1163.400     ,   4910.000    
   1165.150     ,   4915.000    
   1166.900     ,   4847.000    
   1168.650     ,   4786.000    
   1170.400     ,   4879.000    
   1172.150     ,   4792.000    
   1173.890     ,   4696.000    
   1175.640     ,   4705.000    
   1177.390     ,   4694.000    
   1179.130     ,   4673.000    
   1180.880     ,   4712.000    
   1182.630     ,   4674.000    
   1184.370     ,   4588.000    
   1186.120     ,   4580.000    
   1187.860     ,   4621.000    
   1189.600     ,   4618.000    
   1191.350     ,   4516.000    
   1193.090     ,   4581.000    
   1194.830     ,   4612.000    
   1196.580     ,   4516.000    
   1198.320     ,   4498.000    
   1200.060     ,   4498.000    
   1201.800     ,   4309.000    
   1203.550     ,   4496.000    
   1205.290     ,   4362.000    
   1207.030     ,   4422.000    
   1208.770     ,   4436.000    
   1210.510     ,   4316.000    
   1212.250     ,   4342.000    
   1213.990     ,   4197.000    
   1215.730     ,   4333.000    
   1217.470     ,   4244.000    
   1219.210     ,   4251.000    
   1220.940     ,   4255.000    
   1222.680     ,   4225.000    
   1224.420     ,   4113.000    
   1226.150     ,   4142.000    
   1227.890     ,   4209.000    
   1229.630     ,   4120.000    
   1231.360     ,   4184.000    
   1233.100     ,   4121.000    
   1234.830     ,   4135.000    
   1236.570     ,   4073.000    
   1238.300     ,   4125.000    
   1240.040     ,   4092.000    
   1241.770     ,   4049.000    
   1243.500     ,   4048.000    
   1245.240     ,   4043.000    
   1246.970     ,   4014.000    
   1248.700     ,   4041.000    
   1250.440     ,   3997.000    
   1252.170     ,   4037.000    
   1253.900     ,   3959.000    
   1255.630     ,   4056.000    
   1257.360     ,   4025.000    
   1259.090     ,   3991.000    
   1260.820     ,   3967.000    
   1262.550     ,   3939.000    
   1264.280     ,   3983.000    
   1266.010     ,   4057.000    
   1267.740     ,   4015.000    
   1269.470     ,   3994.000    
   1271.190     ,   3948.000    
   1272.920     ,   4025.000    
   1274.650     ,   3972.000    
   1276.380     ,   3999.000    
   1278.100     ,   3931.000    
   1279.830     ,   3993.000    
   1281.550     ,   3960.000    
   1283.280     ,   4029.000    
   1285.010     ,   3935.000    
   1286.730     ,   3891.000    
   1288.450     ,   3976.000    
   1290.180     ,   4045.000    
   1291.900     ,   3872.000    
   1293.630     ,   3910.000    
   1295.350     ,   4046.000    
   1297.070     ,   3976.000    
   1298.800     ,   3949.000    
   1300.520     ,   4023.000    
   1302.240     ,   3940.000    
   1303.960     ,   3940.000    
   1305.680     ,   3956.000    
   1307.400     ,   3989.000    
   1309.120     ,   4032.000    
   1310.840     ,   3967.000    
   1312.560     ,   3937.000    
   1314.280     ,   4020.000    
   1316.000     ,   4026.000    
   1317.720     ,   3923.000    
   1319.440     ,   3908.000    
   1321.160     ,   3941.000    
   1322.870     ,   3911.000    
   1324.590     ,   4012.000    
   1326.310     ,   3989.000    
   1328.030     ,   3933.000    
   1329.740     ,   4012.000    
   1331.460     ,   3969.000    
   1333.170     ,   3934.000    
   1334.890     ,   3981.000    
   1336.600     ,   3986.000    
   1338.320     ,   3923.000    
   1340.030     ,   4051.000    
   1341.740     ,   4068.000    
   1343.460     ,   4039.000    
   1345.170     ,   3976.000    
   1346.880     ,   3975.000    
   1348.600     ,   4018.000    
   1350.310     ,   4005.000    
   1352.020     ,   4037.000    
   1353.730     ,   4148.000    
   1355.440     ,   4039.000    
   1357.150     ,   4016.000    
   1358.870     ,   3968.000    
   1360.580     ,   4003.000    
   1362.290     ,   4047.000    
   1364.000     ,   3946.000    
   1365.700     ,   3955.000    
   1367.410     ,   3994.000    
   1369.120     ,   3987.000    
   1370.830     ,   4018.000    
   1372.540     ,   3995.000    
   1374.250     ,   3882.000    
   1375.950     ,   3938.000    
   1377.660     ,   3930.000    
   1379.370     ,   3958.000    
   1381.070     ,   3919.000    
