##NAMES=Anorthite
##RRUFFID=R070598
##IDEAL CHEMISTRY=Ca(Al_2_Si_2_O_8_)
##LOCALITY=Eyscott Hill, Keswick, Cumberland, England
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Massive, greyish-green heterogenous aggregates on plagioclase matrix. Variety bytownite.
##STATUS=The identification of this mineral has been confirmed only by chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R070598
##MEASURED CHEMISTRY=Na_0.25_K_0.03_Ca_0.72_(Al_1.70_Fe^3+^_0.02_Si_2.28_)O_8_ ; light gray
##DIFFRACTION SAMPLE DESCRIPTION=Powder, with other plagioclase-series minerals
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

896.5682, 1332.529
898.4967, 1341.542
900.4252, 1350.003
902.3536, 1354.442
904.2821, 1362.177
906.2106, 1382.833
908.1390, 1400.871
910.0675, 1401.648
911.9960, 1400.576
913.9244, 1412.128
915.8529, 1425.818
917.7814, 1428.753
919.7098, 1430.837
921.6383, 1443.576
923.5668, 1462.077
925.4952, 1481.683
927.4237, 1501.382
929.3522, 1520.115
931.2806, 1537.630
933.2091, 1552.877
935.1376, 1566.827
937.0660, 1582.830
938.9945, 1599.845
940.9230, 1614.959
942.8514, 1627.141
944.7799, 1627.096
946.7084, 1615.480
948.6368, 1607.081
950.5653, 1601.995
952.4938, 1598.758
954.4222, 1598.408
956.3507, 1584.928
958.2792, 1555.741
960.2076, 1528.425
962.1361, 1502.259
964.0646, 1481.225
965.9930, 1464.330
967.9215, 1455.724
969.8500, 1457.304
971.7784, 1461.822
973.7069, 1468.638
975.6354, 1480.232
977.5638, 1498.497
979.4923, 1514.887
981.4208, 1526.550
983.3492, 1544.518
985.2777, 1574.031
987.2062, 1596.306
989.1346, 1608.181
991.0631, 1611.041
992.9916, 1602.428
994.9200, 1597.257
996.8485, 1605.747
998.7770, 1589.201
1000.705, 1528.483
1002.634, 1476.850
1004.562, 1449.357
1006.491, 1428.562
1008.419, 1411.354
1010.348, 1396.380
1012.276, 1381.793
1014.205, 1372.596
