##NAMES=Libyan Desert glass
##RRUFFID=R060357
##IDEAL CHEMISTRY=
##LOCALITY=Libyan Desert, Sahara Desert, Egypt
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Pale tan amorphous fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R060357
##MEASURED CHEMISTRY=Si_1.00_O_2_
##DIFFRACTION SAMPLE DESCRIPTION=Powder, amorphous
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

627.5344, 174.9483
629.4629, 170.5290
631.3914, 167.6152
633.3198, 165.0461
635.2483, 163.1456
637.1768, 160.9265
639.1052, 157.9874
641.0337, 155.3397
642.9622, 153.2765
644.8906, 151.5677
646.8191, 150.2567
648.7476, 149.0698
650.6760, 147.7834
652.6045, 146.4549
654.5330, 145.1655
656.4614, 143.9182
658.3899, 142.7131
660.3184, 141.5223
662.2468, 140.6153
664.1753, 140.0231
666.1038, 139.5949
668.0322, 139.4697
669.9607, 139.0767
671.8892, 138.2401
673.8176, 137.1647
675.7461, 135.4790
677.6746, 134.1585
679.6030, 134.0225
681.5315, 134.3400
683.4600, 134.3359
685.3884, 134.1498
687.3169, 134.1839
689.2454, 134.3595
691.1738, 134.0560
693.1023, 133.2913
695.0308, 132.5804
696.9592, 131.9183
698.8877, 131.6430
700.8162, 131.8889
702.7446, 132.2689
704.6731, 132.8690
706.6016, 133.2301
708.5300, 133.0490
710.4585, 132.7850
712.3870, 132.8117
714.3154, 132.7495
716.2439, 132.0185
718.1724, 131.1202
720.1008, 130.8143
722.0293, 131.0090
723.9578, 131.5405
725.8862, 132.3181
727.8147, 132.8081
729.7432, 132.9872
731.6716, 133.5511
733.6001, 133.7433
735.5286, 133.6782
737.4570, 134.2337
739.3855, 133.6026
741.3140, 133.8288
743.2424, 134.3203
745.1709, 135.1762
747.0994, 135.9099
749.0278, 136.0116
750.9563, 136.1653
752.8848, 136.6112
754.8132, 137.6775
756.7417, 139.8781
758.6702, 142.9201
760.5986, 146.2990
762.5271, 150.1222
764.4556, 154.5450
766.3840, 159.6487
768.3125, 166.9083
770.2410, 176.8418
772.1694, 186.1791
774.0979, 194.5712
776.0264, 202.8828
777.9548, 211.8646
779.8833, 219.5011
781.8118, 225.5708
783.7402, 230.2922
785.6687, 233.3218
787.5972, 235.5834
789.5256, 237.4743
791.4541, 238.6936
793.3826, 238.9272
795.3110, 238.5365
797.2395, 238.0827
799.1680, 236.9814
801.0964, 233.7783
803.0249, 229.8885
804.9534, 228.3840
806.8818, 228.4688
808.8103, 227.3875
810.7388, 225.1879
812.6672, 222.1769
814.5957, 218.2191
816.5242, 215.4709
818.4526, 214.1577
820.3811, 212.4512
822.3096, 210.3957
824.2380, 207.1364
826.1665, 202.1416
828.0950, 197.7225
830.0234, 194.6567
831.9519, 191.3182
833.8804, 187.2457
835.8088, 182.7311
837.7373, 177.4930
839.6658, 172.4913
841.5942, 168.7669
843.5227, 164.6130
845.4512, 158.6972
847.3796, 152.3476
849.3081, 146.4958
851.2366, 140.9099
853.1650, 135.1595
855.0935, 129.6389
857.0220, 124.7658
858.9504, 120.6318
860.8789, 117.7562
862.8074, 115.6830
864.7358, 112.8832
866.6643, 109.6822
868.5928, 107.3865
870.5212, 105.8970
872.4497, 104.4799
874.3782, 103.1317
876.3066, 102.2558
878.2351, 101.8837
880.1636, 101.9578
882.0920, 102.6126
884.0205, 102.6308
885.9490, 101.7355
887.8774, 100.6890
889.8059, 99.32468
891.7344, 98.43860
893.6628, 98.20334
895.5913, 98.35535
897.5198, 99.37943
899.4482, 99.92341
901.3767, 99.42955
903.3052, 98.79057
905.2336, 98.17461
907.1621, 97.65124
909.0906, 97.43632
911.0190, 97.06572
912.9475, 95.85268
914.8760, 94.98107
916.8044, 95.69675
918.7329, 96.45528
920.6614, 96.16161
922.5898, 95.33406
924.5183, 93.89768
