##NAMES=Calcurmolite
##RRUFFID=R070028
##IDEAL CHEMISTRY=(Ca_1-x_Na_x_)_2_(UO_2_)_3_(MoO_4_)_2_(OH)_6-x_·nH_2_O
##LOCALITY=Gornoe, Transbaikal region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Lemon-yellow massive
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R070028
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=785

1266.971, 2175.625
1268.899, 2166.611
1270.828, 2135.731
1272.756, 2122.812
1274.685, 2135.252
1276.613, 2140.672
1278.542, 2135.158
1280.470, 2126.424
1282.399, 2120.021
1284.327, 2131.364
1286.255, 2142.463
1288.184, 2120.883
1290.112, 2096.991
1292.041, 2107.827
1293.969, 2117.376
1295.898, 2086.473
1297.826, 2070.175
1299.755, 2111.105
1301.683, 2133.992
1303.612, 2117.264
1305.540, 2100.751
1307.469, 2092.257
1309.397, 2075.383
1311.326, 2052.012
1313.254, 2052.365
1315.182, 2068.123
1317.111, 2078.606
1319.039, 2085.225
1320.968, 2084.066
1322.896, 2077.993
1324.825, 2071.966
1326.753, 2069.368
1328.682, 2069.654
1330.610, 2070.192
1332.539, 2075.224
1334.467, 2076.632
1336.396, 2074.252
1338.324, 2058.332
1340.253, 2027.136
1342.181, 2024.520
1344.109, 2043.908
1346.038, 2048.247
1347.966, 2043.999
1349.895, 2044.551
1351.823, 2047.543
1353.752, 2046.188
1355.680, 2044.697
1357.609, 2055.476
1359.537, 2059.383
1361.466, 2041.678
1363.394, 2024.582
1365.323, 2009.397
1367.251, 2006.219
1369.180, 2016.678
1371.108, 2011.921
1373.036, 1997.147
1374.965, 2007.352
1376.893, 2022.470
1378.822, 1996.203
1380.750, 1967.595
1382.679, 1972.096
1384.607, 1979.172
1386.536, 1973.175
1388.464, 1970.906
1390.393, 1976.443
1392.321, 1985.652
1394.250, 2000.865
1396.178, 1999.173
1398.107, 1983.479
1400.035, 1975.440
1401.964, 1972.166
1403.892, 1970.264
1405.820, 1964.978
1407.749, 1947.365
1409.677, 1932.328
1411.606, 1925.988
1413.534, 1926.471
1415.463, 1935.858
1417.391, 1933.589
1419.320, 1916.231
1421.248, 1924.625
1423.177, 1948.953
1425.105, 1932.982
1427.034, 1906.224
1428.962, 1928.184
1430.891, 1952.558
1432.819, 1940.953
1434.747, 1919.408
1436.676, 1890.605
1438.604, 1874.759
1440.533, 1875.979
1442.461, 1884.004
1444.390, 1896.754
1446.318, 1907.643
1448.247, 1913.035
1450.175, 1897.539
1452.104, 1880.787
1454.032, 1890.250
1455.961, 1895.307
1457.889, 1874.865
1459.818, 1866.094
1461.746, 1877.779
1463.674, 1877.003
1465.603, 1863.876
1467.531, 1875.990
1469.460, 1897.318
1471.388, 1878.392
1473.317, 1852.570
1475.245, 1861.108
1477.174, 1871.153
1479.102, 1866.253
1481.031, 1856.597
1482.959, 1843.453
1484.888, 1825.387
1486.816, 1804.217
1488.745, 1795.288
1490.673, 1796.386
1492.601, 1804.284
1494.530, 1813.388
1496.458, 1816.621
1498.387, 1822.000
1500.315, 1841.566
1502.244, 1842.546
1504.172, 1815.715
1506.101, 1823.690
1508.029, 1856.315
1509.958, 1838.952
1511.886, 1801.680
1513.815, 1786.252
1515.743, 1783.566
1517.672, 1797.017
1519.600, 1802.390
1521.528, 1785.000
1523.457, 1776.152
1525.385, 1777.042
1527.314, 1780.819
1529.242, 1785.269
1531.171, 1783.866
1533.099, 1779.558
1535.028, 1774.357
1536.956, 1768.585
1538.885, 1761.482
1540.813, 1755.892
1542.742, 1751.167
1544.670, 1759.784
1546.599, 1775.237
1548.527, 1761.745
1550.455, 1742.798
1552.384, 1750.859
1554.312, 1757.501
1556.241, 1747.710
1558.169, 1740.283
1560.098, 1740.657
1562.026, 1725.338
1563.955, 1702.332
1565.883, 1730.121
1567.812, 1770.082
1569.740, 1769.350
1571.669, 1750.851
1573.597, 1717.116
1575.526, 1699.712
1577.454, 1707.161
1579.382, 1704.843
1581.311, 1694.227
1583.239, 1688.632
1585.168, 1688.067
1587.096, 1699.258
1589.025, 1702.978
1590.953, 1687.403
1592.882, 1677.875
1594.810, 1678.883
1596.739, 1680.417
1598.667, 1683.782
1600.596, 1701.225
1602.524, 1717.412
1604.453, 1709.951
1606.381, 1704.431
1608.309, 1713.223
1610.238, 1707.486
1612.166, 1684.643
1614.095, 1657.048
1616.023, 1634.108
1617.952, 1638.754
1619.880, 1653.292
1621.809, 1672.354
1623.737, 1675.634
1625.666, 1656.094
1627.594, 1641.085
1629.523, 1632.375
1631.451, 1628.380
1633.380, 1626.010
1635.308, 1620.234
1637.236, 1615.969
1639.165, 1620.466
1641.093, 1614.182
1643.022, 1594.818
1644.950, 1599.039
1646.879, 1612.903
1648.807, 1591.611
1650.736, 1567.947
1652.664, 1570.974
1654.593, 1579.362
1656.521, 1595.048
1658.450, 1576.655
1660.378, 1533.285
1662.307, 1533.399
1664.235, 1546.122
1666.163, 1529.101
1668.092, 1517.581
1670.020, 1539.188
1671.949, 1537.926
1673.877, 1510.143
1675.806, 1513.244
1677.734, 1530.423
1679.663, 1532.500
1681.591, 1530.362
1683.520, 1530.999
1685.448, 1525.452
1687.377, 1511.131
1689.305, 1499.854
1691.234, 1492.703
1693.162, 1496.519
1695.090, 1499.786
1697.019, 1493.060
1698.947, 1490.050
1700.876, 1494.677
1702.804, 1502.409
1704.733, 1509.077
1706.661, 1497.350
1708.590, 1482.318
1710.518, 1476.300
1712.447, 1467.611
1714.375, 1452.655
1716.304, 1441.236
1718.232, 1433.410
