##NAMES=Atorvastatin
##RRUFFID=XD120016
##IDEAL CHEMISTRY=
##LOCALITY=Synthetic; pill is from Vietnam
##OWNER=RRUFF
##SOURCE=David Blake
##DESCRIPTION=20 mg pills from D120014, sans coating. Atorvastatin is a drug commonly used to lower blood cholesterol levels, and also acts as an anti-inflammatory agent.
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/XD120016
##DIFFRACTION SAMPLE DESCRIPTION=Powder, Co-radiation
##FILETYPE=Raman Processed
##RAMAN WAVELENGTH=532

1000.623, 10313.65
1002.551, 10339.56
1004.480, 10350.40
1006.408, 10350.26
1008.337, 10344.93
1010.265, 10342.34
1012.194, 10342.32
1014.122, 10343.01
1016.051, 10350.58
1017.979, 10375.67
1019.908, 10411.91
1021.836, 10441.88
1023.765, 10462.11
1025.693, 10480.36
1027.621, 10502.54
1029.550, 10527.70
1031.478, 10549.88
1033.407, 10565.48
1035.335, 10578.25
1037.264, 10593.64
1039.192, 10609.28
1041.121, 10613.46
1043.049, 10607.73
1044.978, 10611.06
1046.906, 10629.75
1048.835, 10658.18
1050.763, 10689.92
1052.692, 10719.44
1054.620, 10742.69
1056.548, 10760.81
1058.477, 10764.38
1060.405, 10743.91
1062.334, 10719.34
1064.262, 10705.63
1066.191, 10700.27
1068.119, 10705.35
1070.048, 10722.02
1071.976, 10754.67
1073.905, 10802.65
1075.833, 10869.31
1077.762, 10945.74
1079.690, 11035.43
1081.619, 11123.33
1083.547, 11216.21
1085.475, 11302.79
1087.404, 11360.59
1089.332, 11380.63
1091.261, 11374.03
1093.189, 11334.00
1095.118, 11283.69
1097.046, 11235.50
1098.975, 11191.04
1100.903, 11159.80
1102.832, 11144.41
1104.760, 11137.43
1106.689, 11139.81
1108.617, 11151.21
1110.546, 11168.62
1112.474, 11194.21
1114.402, 11226.36
1116.331, 11263.44
1118.259, 11299.73
1120.188, 11338.72
1122.116, 11383.57
1124.045, 11409.19
1125.973, 11396.69
1127.902, 11380.24
1129.830, 11381.78
1131.759, 11394.39
1133.687, 11396.78
1135.616, 11385.34
1137.544, 11367.40
1139.473, 11344.50
1141.401, 11319.99
1143.329, 11295.95
1145.258, 11274.59
1147.186, 11248.73
1149.115, 11209.88
1151.043, 11175.71
1152.972, 11161.58
1154.900, 11167.57
1156.829, 11168.44
1158.757, 11163.43
1160.686, 11153.90
1162.614, 11134.86
1164.543, 11110.49
1166.471, 11095.49
1168.400, 11095.03
1170.328, 11095.54
1172.256, 11090.08
1174.185, 11086.79
1176.113, 11091.26
1178.042, 11103.51
1179.970, 11115.14
1181.899, 11128.84
1183.827, 11136.79
1185.756, 11132.45
1187.684, 11120.32
1189.613, 11112.22
1191.541, 11108.38
1193.470, 11111.46
1195.398, 11128.50
1197.327, 11150.50
1199.255, 11169.03
1201.183, 11183.61
1203.112, 11199.52
1205.040, 11215.11
1206.969, 11232.01
1208.897, 11249.67
1210.826, 11266.99
1212.754, 11284.81
1214.683, 11304.12
1216.611, 11324.22
1218.540, 11352.15
1220.468, 11378.86
1222.397, 11393.28
1224.325, 11397.58
1226.254, 11414.43
1228.182, 11450.60
1230.110, 11488.90
1232.039, 11516.62
1233.967, 11540.10
1235.896, 11572.08
1237.824, 11614.08
1239.753, 11650.81
1241.681, 11681.39
1243.610, 11704.45
1245.538, 11717.63
1247.467, 11723.77
1249.395, 11733.76
1251.324, 11748.49
1253.252, 11769.22
1255.181, 11801.34
1257.109, 11837.25
1259.037, 11871.43
1260.966, 11904.82
1262.894, 11927.08
1264.823, 11934.71
1266.751, 11932.52
1268.680, 11915.85
1270.608, 11892.54
1272.537, 11876.02
1274.465, 11867.36
1276.394, 11862.24
1278.322, 11858.69
1280.251, 11860.91
1282.179, 11871.71
1284.108, 11895.43
1286.036, 11924.59
1287.964, 11956.28
1289.893, 11991.45
1291.821, 12038.68
1293.750, 12086.69
1295.678, 12119.67
1297.607, 12136.93
1299.535, 12142.24
1301.464, 12127.26
1303.392, 12111.75
1305.321, 12101.03
1307.249, 12095.98
1309.178, 12102.36
1311.106, 12123.04
1313.035, 12149.85
1314.963, 12179.85
1316.891, 12216.60
1318.820, 12264.78
1320.748, 12322.46
1322.677, 12378.87
1324.605, 12434.02
1326.534, 12477.69
1328.462, 12508.91
1330.391, 12530.00
1332.319, 12536.44
1334.248, 12523.66
1336.176, 12521.25
1338.105, 12542.40
1340.033, 12559.15
1341.962, 12558.15
1343.890, 12548.50
1345.818, 12549.38
1347.747, 12563.53
1349.675, 12574.36
1351.604, 12575.03
1353.532, 12575.59
1355.461, 12578.08
1357.389, 12584.08
1359.318, 12595.66
1361.246, 12611.53
1363.175, 12623.39
1365.103, 12629.74
1367.032, 12637.78
1368.960, 12652.65
1370.889, 12669.85
1372.817, 12683.13
1374.745, 12692.41
1376.674, 12700.65
1378.602, 12711.61
1380.531, 12714.94
1382.459, 12699.49
1384.388, 12665.64
1386.316, 12639.61
1388.245, 12624.29
1390.173, 12622.96
1392.102, 12645.75
1394.030, 12673.46
1395.959, 12686.74
1397.887, 12686.31
1399.816, 12695.76
1401.744, 12719.62
1403.672, 12749.01
1405.601, 12776.19
1407.529, 12805.72
1409.458, 12853.59
1411.386, 12918.02
1413.315, 12967.51
1415.243, 12997.04
1417.172, 13015.37
1419.100, 13024.31
1421.029, 13025.75
1422.957, 13017.64
1424.886, 13001.27
1426.814, 12989.81
1428.743, 12980.48
1430.671, 12977.11
1432.599, 12985.54
1434.528, 12996.75
1436.456, 13000.83
1438.385, 13000.93
1440.313, 12999.96
1442.242, 12988.94
1444.170, 12983.41
1446.099, 12988.43
1448.027, 13001.04
1449.956, 13017.43
1451.884, 13035.68
1453.813, 13054.60
1455.741, 13080.80
1457.670, 13108.53
1459.598, 13137.70
1461.526, 13166.56
1463.455, 13192.13
1465.383, 13211.00
1467.312, 13230.71
1469.240, 13256.00
1471.169, 13270.47
1473.097, 13269.51
1475.026, 13253.55
1476.954, 13221.74
1478.883, 13177.93
1480.811, 13130.18
1482.740, 13076.93
1484.668, 13031.96
1486.597, 12995.62
1488.525, 12971.77
1490.453, 12965.89
1492.382, 12978.46
1494.310, 13001.16
1496.239, 13032.64
1498.167, 13070.50
1500.096, 13109.23
1502.024, 13146.63
1503.953, 13183.98
1505.881, 13221.62
1507.810, 13255.63
1509.738, 13287.00
1511.667, 13315.05
1513.595, 13341.86
1515.524, 13376.12
1517.452, 13424.61
1519.380, 13480.83
1521.309, 13526.47
1523.237, 13560.47
1525.166, 13578.11
1527.094, 13582.52
1529.023, 13566.00
1530.951, 13514.96
1532.880, 13443.55
1534.808, 13377.91
1536.737, 13318.77
1538.665, 13276.99
1540.594, 13262.59
1542.522, 13255.44
1544.451, 13245.31
1546.379, 13239.02
1548.307, 13248.53
1550.236, 13274.62
1552.164, 13293.83
1554.093, 13301.50
1556.021, 13308.41
1557.950, 13315.35
1559.878, 13321.38
1561.807, 13328.48
1563.735, 13335.57
1565.664, 13335.96
1567.592, 13326.38
1569.521, 13323.21
1571.449, 13331.95
1573.378, 13345.11
1575.306, 13358.80
1577.234, 13373.45
1579.163, 13391.28
1581.091, 13413.48
1583.020, 13441.62
1584.948, 13474.03
1586.877, 13515.56
1588.805, 13572.49
1590.734, 13638.78
1592.662, 13704.36
1594.591, 13772.79
1596.519, 13864.62
1598.448, 13991.26
1600.376, 14097.71
1602.305, 14181.02
1604.233, 14221.25
1606.161, 14195.53
1608.090, 14121.49
1610.018, 14036.51
1611.947, 13939.32
1613.875, 13850.07
1615.804, 13771.48
1617.732, 13707.51
1619.661, 13666.14
1621.589, 13639.10
1623.518, 13617.77
1625.446, 13603.35
1627.375, 13603.52
1629.303, 13618.42
1631.232, 13643.27
1633.160, 13678.17
1635.089, 13715.75
1637.017, 13753.96
1638.945, 13789.89
1640.874, 13818.70
1642.802, 13839.62
1644.731, 13857.20
1646.659, 13873.49
1648.588, 13890.12
1650.516, 13917.35
1652.445, 13939.25
1654.373, 13938.66
1656.302, 13917.82
1658.230, 13896.79
1660.159, 13872.72
1662.087, 13852.23
1664.016, 13830.80
1665.944, 13818.44
1667.872, 13825.94
1669.801, 13840.77
1671.729, 13845.23
1673.658, 13838.64
1675.586, 13839.12
1677.515, 13853.16
1679.443, 13863.87
1681.372, 13863.28
1683.300, 13865.46
1685.229, 13880.92
1687.157, 13902.98
1689.086, 13917.14
1691.014, 13920.33
1692.943, 13923.12
1694.871, 13921.65
1696.799, 13923.52
1698.728, 13937.18
1700.656, 13948.76
1702.585, 13946.84
1704.513, 13936.93
1706.442, 13934.90
1708.370, 13944.67
1710.299, 13951.68
1712.227, 13950.53
1714.156, 13952.28
1716.084, 13959.47
1718.013, 13968.72
1719.941, 13977.79
1721.870, 13986.07
1723.798, 13992.16
1725.726, 13995.20
1727.655, 14000.19
1729.583, 14013.25
1731.512, 14021.56
1733.440, 14016.08
1735.369, 14009.87
1737.297, 14016.07
1739.226, 14032.99
1741.154, 14048.68
1743.083, 14063.53
1745.011, 14075.96
1746.940, 14080.13
1748.868, 14088.68
1750.797, 14106.01
1752.725, 14126.28
1754.653, 14145.78
1756.582, 14162.67
1758.510, 14171.42
1760.439, 14171.36
1762.367, 14166.31
1764.296, 14155.79
1766.224, 14144.98
1768.153, 14136.44
1770.081, 14130.79
1772.010, 14128.51
1773.938, 14130.43
1775.867, 14137.51
1777.795, 14149.82
1779.724, 14166.37
1781.652, 14191.16
1783.580, 14209.61
1785.509, 14207.36
1787.437, 14204.06
1789.366, 14213.89
1791.294, 14231.58
1793.223, 14248.11
1795.151, 14263.32
1797.080, 14267.21
1799.008, 14254.10
1800.937, 14244.00
1802.865, 14245.61
1804.794, 14251.15
1806.722, 14255.78
1808.651, 14262.25
1810.579, 14276.31
1812.507, 14296.54
1814.436, 14309.44
1816.364, 14310.92
1818.293, 14312.83
1820.221, 14317.78
1822.150, 14322.01
1824.078, 14321.59
1826.007, 14321.73
1827.935, 14332.55
1829.864, 14351.02
1831.792, 14359.59
1833.721, 14356.44
1835.649, 14358.90
1837.578, 14372.67
1839.506, 14385.95
1841.434, 14393.35
1843.363, 14397.82
1845.291, 14396.20
1847.220, 14393.60
1849.148, 14405.99
1851.077, 14436.12
1853.005, 14453.65
1854.934, 14452.25
1856.862, 14450.42
1858.791, 14449.08
1860.719, 14450.40
1862.648, 14458.12
1864.576, 14467.50
1866.505, 14473.05
1868.433, 14475.14
1870.361, 14475.45
1872.290, 14472.40
1874.218, 14471.75
1876.147, 14473.88
1878.075, 14479.08
1880.004, 14495.34
1881.932, 14507.38
1883.861, 14495.63
1885.789, 14477.44
1887.718, 14486.29
1889.646, 14520.89
1891.575, 14542.97
1893.503, 14548.09
1895.432, 14547.63
1897.360, 14541.84
1899.288, 14533.92
1901.217, 14526.76
1903.145, 14521.37
1905.074, 14521.35
1907.002, 14525.69
1908.931, 14528.03
1910.859, 14528.91
1912.788, 14538.32
1914.716, 14556.75
1916.645, 14573.52
1918.573, 14584.44
1920.502, 14590.22
1922.430, 14586.30
1924.359, 14581.41
1926.287, 14588.28
1928.215, 14600.88
1930.144, 14601.05
1932.072, 14589.37
1934.001, 14587.84
1935.929, 14606.38
1937.858, 14615.51
1939.786, 14598.72
1941.715, 14588.24
1943.643, 14602.23
1945.572, 14621.00
1947.500, 14625.98
1949.429, 14622.07
1951.357, 14621.87
1953.286, 14625.19
1955.214, 14627.74
1957.143, 14629.39
1959.071, 14630.00
1961.000, 14632.07
1962.928, 14631.18
1964.856, 14625.68
1966.785, 14619.89
1968.713, 14616.52
1970.642, 14616.26
1972.570, 14620.82
1974.499, 14629.28
1976.427, 14633.80
1978.356, 14632.10
1980.284, 14637.22
1982.213, 14653.41
1984.141, 14668.57
1986.070, 14672.44
1987.998, 14679.08
1989.927, 14703.91
1991.855, 14730.75
1993.783, 14735.84
1995.712, 14724.71
1997.640, 14722.25
1999.569, 14731.12
2001.497, 14739.74
2003.426, 14748.68
2005.354, 14757.50
2007.283, 14774.81
2009.211, 14779.58
2011.140, 14749.21
2013.068, 14716.87
2014.997, 14715.56
2016.925, 14730.64
2018.854, 14731.47
2020.782, 14719.55
2022.710, 14711.74
2024.639, 14708.64
2026.567, 14712.16
2028.496, 14724.67
2030.424, 14737.18
2032.353, 14748.59
2034.281, 14755.02
2036.210, 14748.80
2038.138, 14740.56
2040.067, 14741.90
2041.995, 14749.17
2043.924, 14754.09
2045.852, 14756.64
2047.781, 14757.38
2049.709, 14754.40
2051.637, 14754.00
2053.566, 14759.79
2055.494, 14762.85
2057.423, 14762.54
2059.351, 14759.08
2061.280, 14754.59
2063.208, 14748.26
2065.137, 14735.22
2067.065, 14721.68
2068.994, 14723.21
2070.922, 14739.34
2072.851, 14762.22
2074.779, 14791.31
2076.708, 14813.24
2078.636, 14821.53
2080.564, 14824.71
2082.493, 14824.90
2084.421, 14819.75
2086.350, 14808.77
2088.278, 14794.80
2090.207, 14780.48
2092.135, 14768.40
2094.064, 14762.42
2095.992, 14762.75
2097.921, 14760.82
2099.849, 14752.96
2101.778, 14748.38
2103.706, 14742.39
2105.635, 14742.87
2107.563, 14762.50
2109.491, 14771.95
2111.420, 14758.52
2113.348, 14739.27
2115.277, 14723.04
2117.205, 14711.60
2119.134, 14707.29
2121.062, 14708.97
2122.991, 14710.25
2124.919, 14710.63
2126.848, 14725.73
2128.776, 14761.02
2130.705, 14783.55
2132.633, 14778.29
2134.562, 14775.08
2136.490, 14784.86
2138.418, 14791.38
2140.347, 14787.54
2142.275, 14779.66
2144.204, 14771.30
2146.132, 14764.49
2148.061, 14762.58
2149.989, 14765.32
2151.918, 14768.71
2153.846, 14772.86
2155.775, 14782.52
2157.703, 14798.52
2159.632, 14809.53
2161.560, 14810.59
2163.489, 14808.88
2165.417, 14804.35
2167.345, 14797.85
2169.274, 14785.48
2171.202, 14776.67
2173.131, 14786.91
2175.059, 14800.97
2176.988, 14793.86
2178.916, 14774.97
2180.845, 14774.07
2182.773, 14790.97
2184.702, 14798.09
2186.630, 14792.10
2188.559, 14797.74
2190.487, 14821.11
2192.416, 14837.39
2194.344, 14837.11
2196.272, 14834.10
2198.201, 14833.95
2200.129, 14832.51
2202.058, 14830.78
2203.986, 14824.80
2205.915, 14807.81
2207.843, 14785.83
2209.772, 14766.22
2211.700, 14750.72
2213.629, 14751.45
2215.557, 14769.04
2217.486, 14772.24
2219.414, 14758.64
2221.343, 14747.31
2223.271, 14738.59
2225.199, 14739.80
2227.128, 14756.37
2229.056, 14773.83
2230.985, 14788.28
2232.913, 14798.48
2234.842, 14803.17
2236.770, 14804.11
2238.699, 14798.14
2240.627, 14794.08
2242.556, 14810.85
2244.484, 14840.35
2246.413, 14852.44
2248.341, 14848.27
2250.270, 14840.68
2252.198, 14828.92
2254.126, 14834.10
2256.055, 14864.07
2257.983, 14881.20
2259.912, 14868.72
2261.840, 14859.87
2263.769, 14866.81
2265.697, 14871.83
2267.626, 14870.06
2269.554, 14862.30
2271.483, 14850.56
2273.411, 14834.51
2275.340, 14810.18
2277.268, 14786.21
2279.197, 14776.69
2281.125, 14778.53
2283.053, 14781.58
2284.982, 14785.24
2286.910, 14790.03
2288.839, 14793.71
2290.767, 14801.00
2292.696, 14814.53
2294.624, 14822.53
2296.553, 14824.44
2298.481, 14821.31
2300.410, 14810.31
2302.338, 14801.72
2304.267, 14805.83
2306.195, 14805.14
2308.124, 14783.65
2310.052, 14763.36
2311.980, 14758.91
2313.909, 14766.50
2315.837, 14788.91
2317.766, 14815.31
2319.694, 14821.29
2321.623, 14811.42
2323.551, 14809.20
2325.480, 14814.03
2327.408, 14817.92
2329.337, 14821.01
2331.265, 14816.97
2333.194, 14803.92
2335.122, 14795.00
2337.051, 14796.18
2338.979, 14793.18
2340.907, 14782.65
2342.836, 14772.18
2344.764, 14763.93
2346.693, 14758.50
2348.621, 14751.47
2350.550, 14751.05
2352.478, 14762.89
2354.407, 14777.34
2356.335, 14787.05
2358.264, 14790.51
2360.192, 14787.31
2362.121, 14779.03
2364.049, 14771.74
2365.978, 14764.89
2367.906, 14744.38
2369.834, 14741.28
2371.763, 14736.79
2373.691, 14725.80
2375.620, 14734.94
2377.548, 14727.69
2379.477, 14724.69
2381.405, 14727.88
2383.334, 14724.56
2385.262, 14708.28
2387.191, 14697.25
2389.119, 14705.93
2391.048, 14710.21
2392.976, 14700.41
2394.905, 14691.88
2396.833, 14689.04
2398.761, 14691.51
2400.690, 14701.04
2402.618, 14710.33
2404.547, 14712.16
2406.475, 14710.68
2408.404, 14712.81
2410.332, 14713.78
2412.261, 14705.60
2414.189, 14691.67
2416.118, 14677.04
2418.046, 14664.09
2419.975, 14665.00
2421.903, 14657.59
2423.832, 14655.26
2425.760, 14660.68
2427.688, 14657.35
2429.617, 14669.61
2431.545, 14681.38
2433.474, 14693.63
2435.402, 14696.09
2437.331, 14678.92
2439.259, 14669.80
2441.188, 14679.76
2443.116, 14682.48
2445.045, 14666.78
2446.973, 14658.36
2448.902, 14674.67
2450.830, 14683.08
2452.759, 14651.22
2454.687, 14626.81
2456.615, 14644.43
2458.544, 14669.21
2460.472, 14680.03
2462.401, 14683.34
2464.329, 14684.35
2466.258, 14683.98
2468.186, 14681.49
2470.115, 14679.19
2472.043, 14675.93
2473.972, 14675.08
2475.900, 14689.37
2477.829, 14710.19
2479.757, 14711.86
2481.686, 14696.58
2483.614, 14680.68
2485.542, 14665.37
2487.471, 14650.13
2489.399, 14636.83
2491.328, 14627.72
2493.256, 14623.00
2495.185, 14635.05
2497.113, 14676.14
2499.042, 14691.93
2500.970, 14665.51
2502.899, 14651.57
2504.827, 14654.29
2506.756, 14659.79
2508.684, 14669.75
