##NAMES=Fluorsigaiite
##RRUFFID=R250047
##IDEAL CHEMISTRY=Ca_2_Sr_3_(PO_4_)_3_F
##LOCALITY=Saima alkaline complex, Liaoning Province, China
##OWNER=Geological Museum of China
##SOURCE=Bin Wu
##DESCRIPTION=Individual prismatic, columnar and platy translucent to transparent, colourless crystals associated with microcline, nepheline, aegirine, natrolite, eudialyte, fluorapatite, stronadelphite and calcite. Type sample described in Wu et al (2022)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R250047
##MEASURED CHEMISTRY=(Sr_2.82_Ca_1.79_Na_0.16_La_0.15_Ce_0.09_Pr_0.01_Nd_0.01_Gd_0.01_)P_2.97_O_12_[F_0.66_(OH)_0.34_] ; Calculated on the basis of 13 total anions per formula unit and F+(OH) = 1
##DIFFRACTION SAMPLE DESCRIPTION=Powder, profile is calculated
##CELL PARAMETERS=a: 9.6005 b: 9.6005 c: 7.1119 alpha: 90 beta: 90 gamma: 120 volume: 567.67 crystal system: hexagonal
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532

X,Y
1323.99,1205.06
1325.41,1173.65
1326.83,1217.79
1328.25,1168.8
1329.68,1153.19
1331.1,1158.67
1332.52,1176.46
1333.94,1169.64
1335.36,1152.26
1336.79,1148.94
1338.21,1119.23
1339.63,1166.96
1341.05,1177.73
1342.47,1163.85
1343.89,1185.2
1345.31,1097.34
1346.73,1136.29
1348.14,1164.69
1349.56,1147.27
1350.98,1062.87
1352.4,1110.66
1353.82,1103.81
1355.24,1088.13
1356.65,1098.91
1358.07,1072.65
1359.49,1131.07
1360.91,1115.39
1362.32,1080.28
1363.74,1084.01
1365.15,1073.61
1366.57,1036.71
1367.99,1098.72
1369.4,1120.12
1370.82,1063.77
1372.23,1044.52
1373.65,1087.13
1375.06,1051.97
1376.47,1071.61
1377.89,1080.64
1379.3,1119.75
1380.71,1102.26
1382.13,1084.76
1383.54,1072.57
1384.95,1088.69
1386.36,1067.64
1387.78,1092.62
1389.19,1062.71
1390.6,1107.18
1392.01,1133.96
1393.42,1052.64
1394.83,1081.19
1396.24,1044.15
1397.65,1086.9
1399.06,1127.88
1400.47,1044.71
1401.88,1110.54
1403.29,1108.96
1404.7,1087.87
1406.11,1052.56
1407.52,1077.6
1408.93,1058.26
1410.33,1134.82
1411.74,1108.38
1413.15,1101.47
1414.56,1094.56
1415.96,1119.63
1417.37,1103.84
1418.78,1107.59
1420.18,1091.78
1421.59,1090.2
1422.99,1104.62
1424.4,1090.59
1425.81,1021.39
1427.21,1103.44
1428.61,1110.75
1430.02,1082.46
1431.42,1111.15
1432.83,1088.19
1434.23,1111.55
1435.63,1095.71
1437.04,1095.9
1438.44,1087.19
1439.84,1112.34
1441.25,1121.45
1442.65,1069.94
1444.05,1121.85
1445.45,1104.21
1446.85,1086.57
1448.25,1099.25
1449.66,1092.31
1451.06,1081.79
1452.46,1128.41
1453.86,1107.18
1455.26,1118.09
1456.66,1162.95
1458.06,1139.93
1459.46,1120.48
1460.85,1108.17
1462.25,1136.97
1463.65,1146.11
1465.05,1164.2
1466.45,1146.52
1467.85,1143.14
1469.24,1130.82
1470.64,1131.02
1472.04,1195.66
1473.43,1149.33
1474.83,1147.74
1476.23,1135.41
1477.62,1148.15
1479.02,1160.9
1480.41,1195.15
1481.81,1170.27
1483.2,1159.72
1484.6,1190.41
1485.99,1181.65
1487.39,1185.45
1488.78,1214.36
1490.17,1142.81
1491.57,1173.52
1492.96,1143.22
1494.35,1193.68
1495.75,1174.15
1497.14,1186.93
1498.53,1181.75
1499.92,1221.48
1501.32,1236.07
1502.71,1162.61
1504.1,1146.64
1505.49,1229.54
1506.88,1249.53
1508.27,1206.6
1509.66,1221.2
1511.05,1176.45
1512.44,1254.02
1513.83,1239.85
1515.22,1232.87
1516.61,1229.48
1518,1163.09
1519.39,1217.32
1520.77,1235.54
1522.16,1224.95
1523.55,1201.75
1524.94,1192.95
1526.33,1182.35
1527.71,1124.87
1529.1,1137.69
1530.49,1128.88
1531.87,1112.85
1533.26,1127.48
1534.64,1161.96
1536.03,1115.24
1537.41,1140.71
1538.8,1126.47
1540.18,1115.84
1541.57,1107.01
1542.95,1103.59
1544.34,1103.79
1545.72,1169.03
1547.11,1134.9
1548.49,1158.6
1549.87,1178.69
1551.25,1115.61
1552.64,1077.83
1554.02,1215.49
1555.4,1159.63
1556.78,1110.98
1558.17,1136.51
1559.55,1116.8
1560.93,1109.76
1562.31,1115.39
1563.69,1153.62
1565.07,1157.44
1566.45,1101.49
1567.83,1145.17
1569.21,1123.62
1570.59,1105.7
1571.97,1095.02
1573.35,1091.58
1574.73,1118.98
