##NAMES=Brianyoungite
##RRUFFID=R060431
##IDEAL CHEMISTRY=Zn_3_(CO_3_)(OH)_4_
##LOCALITY=Brownley Hill mine, Nenthead, Cumbria, England
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Sprays of white bladed crystals, associated with colorless tabular or prismatic gypsum.
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R060431
##MEASURED CHEMISTRY=EDS analysis shows the presence of Zn, with trace S.
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

1009.371, 978.4916
1011.299, 980.1695
1013.228, 979.4650
1015.156, 974.9153
1017.085, 972.8929
1019.013, 975.0303
1020.942, 976.8380
1022.870, 977.1935
1024.799, 979.1606
1026.727, 984.1215
1028.656, 987.6502
1030.584, 988.9183
1032.512, 989.5422
1034.441, 989.4271
1036.369, 989.3806
1038.298, 989.0709
1040.226, 989.8938
1042.155, 992.9621
1044.083, 995.1376
1046.012, 995.8438
1047.940, 996.2969
1049.869, 995.7916
1051.797, 996.3514
1053.726, 998.7717
1055.654, 1000.805
1057.583, 1003.536
1059.511, 1003.546
1061.439, 999.4648
1063.368, 995.5707
1065.296, 992.2278
1067.225, 988.7664
1069.153, 985.2775
1071.082, 981.1047
1073.010, 980.1414
1074.939, 979.5567
1076.867, 978.2511
1078.796, 981.3070
1080.724, 980.5263
1082.653, 981.4608
1084.581, 984.8997
1086.510, 987.5270
1088.438, 989.1718
1090.366, 990.0416
1092.295, 989.9437
1094.223, 992.0244
1096.152, 989.7990
1098.080, 986.3331
1100.009, 984.3527
1101.937, 975.7449
1103.866, 969.4142
1105.794, 962.8994
1107.723, 956.1279
1109.651, 948.7301
1111.580, 940.9625
1113.508, 938.1497
1115.437, 939.6346
1117.365, 937.9640
1119.293, 933.8510
1121.222, 931.9970
1123.150, 932.1815
1125.079, 934.2432
1127.007, 937.1436
1128.936, 937.0416
1130.864, 934.7790
1132.793, 931.9572
1134.721, 929.3900
1136.650, 929.5384
1138.578, 930.9083
1140.507, 930.4669
1142.435, 929.4399
1144.364, 929.6299
1146.292, 930.6132
1148.220, 932.1755
1150.149, 933.7804
1152.077, 935.0572
1154.006, 935.7042
1155.934, 934.7794
1157.863, 933.7977
1159.791, 934.1752
1161.720, 934.8660
1163.648, 935.3146
1165.577, 935.6789
1167.505, 936.6984
1169.434, 936.7281
1171.362, 933.6555
1173.291, 931.6693
1175.219, 933.0781
1177.147, 934.6469
1179.076, 935.7881
1181.004, 936.1129
1182.933, 934.6635
1184.861, 933.9410
1186.790, 934.8245
1188.718, 935.4161
1190.647, 935.9576
1192.575, 935.1514
1194.504, 935.3502
1196.432, 935.7113
1198.361, 934.6451
1200.289, 936.3994
1202.218, 936.2562
1204.146, 936.1752
1206.074, 936.1570
1208.003, 936.3883
1209.931, 936.7128
1211.860, 935.6348
1213.788, 936.5862
1215.717, 935.1971
1217.645, 937.9684
1219.574, 940.3231
1221.502, 941.8008
1223.431, 940.7268
1225.359, 939.2441
1227.288, 940.1669
1229.216, 941.3691
1231.145, 940.5290
1233.073, 939.8484
1235.001, 941.2770
1236.930, 942.4096
1238.858, 941.8482
1240.787, 941.7264
1242.715, 943.1656
1244.644, 943.9677
1246.572, 943.1586
1248.501, 943.1595
1250.429, 944.6188
1252.358, 945.5392
1254.286, 945.5941
1256.215, 945.8461
1258.143, 946.4161
1260.072, 947.1599
1262.000, 947.9465
1263.928, 948.0192
1265.857, 947.4658
1267.785, 945.9017
1269.714, 944.5484
1271.642, 947.0870
1273.571, 950.6474
1275.499, 950.5945
1277.428, 949.4968
1279.356, 949.5723
1281.285, 950.3389
1283.213, 952.1451
1285.142, 953.3153
1287.070, 952.2681
1288.999, 951.5524
1290.927, 952.3555
1292.855, 953.3912
1294.784, 954.6782
1296.712, 955.3723
1298.641, 955.2782
1300.569, 955.1169
1302.498, 954.7245
1304.426, 955.9558
1306.355, 956.0439
1308.283, 955.9487
1310.212, 957.1766
1312.140, 956.3105
1314.069, 956.2899
1315.997, 957.8753
1317.926, 959.5071
1319.854, 959.3502
1321.782, 958.5061
1323.711, 956.9218
1325.639, 956.2654
1327.568, 958.1904
1329.496, 959.4117
1331.425, 958.3300
1333.353, 958.0040
1335.282, 959.3652
1337.210, 960.6553
1339.139, 961.4329
1341.067, 961.5241
1342.996, 961.9033
1344.924, 961.2038
1346.853, 961.4713
1348.781, 960.9327
1350.709, 960.1652
1352.638, 959.9662
1354.566, 959.8533
1356.495, 959.5801
1358.423, 959.6505
1360.352, 961.1622
1362.280, 961.3743
1364.209, 958.0603
1366.137, 955.4159
1368.066, 955.1025
1369.994, 953.4851
1371.923, 949.5050
1373.851, 946.6441
1375.780, 945.2450
1377.708, 942.7942
1379.636, 939.4664
1381.565, 936.5079
1383.493, 934.0482
1385.422, 932.4308
1387.350, 930.9217
1389.279, 927.7916
1391.207, 924.9963
1393.136, 924.6236
1395.064, 924.6031
1396.993, 923.9709
1398.921, 923.3076
1400.850, 922.9315
1402.778, 921.9138
1404.707, 920.2412
1406.635, 918.4667
1408.563, 916.7948
1410.492, 917.1886
1412.420, 918.4977
1414.349, 917.5922
1416.277, 915.7878
1418.206, 914.5735
1420.134, 914.2753
1422.063, 915.6512
1423.991, 915.3566
1425.920, 914.9525
1427.848, 915.2382
1429.777, 912.8174
1431.705, 914.0997
1433.634, 911.5778
1435.562, 909.3956
1437.490, 907.7946
1439.419, 907.8477
1441.347, 908.3477
1443.276, 907.0058
1445.204, 905.4459
1447.133, 905.3181
1449.061, 905.0231
1450.990, 903.8519
1452.918, 902.1760
1454.847, 900.1049
1456.775, 898.8676
1458.704, 898.5123
1460.632, 896.5247
1462.561, 896.5002
1464.489, 893.5494
1466.417, 895.2527
1468.346, 894.2047
1470.274, 892.0975
1472.203, 890.3694
1474.131, 889.0334
1476.060, 888.2117
1477.988, 887.5314
1479.917, 887.4704
1481.845, 886.4677
1483.774, 883.8400
1485.702, 882.1378
1487.631, 881.8480
1489.559, 881.4603
1491.488, 880.5917
1493.416, 878.7938
1495.344, 877.7579
1497.273, 880.1840
1499.201, 881.0109
1501.130, 876.0530
1503.058, 873.5912
1504.987, 875.5261
1506.915, 875.7705
1508.844, 874.5123
1510.772, 872.9929
1512.701, 871.3366
1514.629, 871.4974
1516.558, 872.3033
1518.486, 872.2955
1520.415, 872.3715
1522.343, 872.4514
1524.271, 873.0748
1526.200, 873.0643
1528.128, 873.4030
1530.057, 873.8298
1531.985, 873.5368
1533.914, 874.7452
1535.842, 874.1111
1537.771, 873.6164
1539.699, 875.5699
1541.628, 877.5318
1543.556, 878.2318
1545.485, 878.8912
1547.413, 878.8218
1549.342, 879.7073
1551.270, 877.4285
1553.198, 875.6898
1555.127, 874.4920
1557.055, 874.0662
1558.984, 874.0651
1560.912, 874.5987
1562.841, 873.9283
1564.769, 871.1306
1566.698, 870.3205
1568.626, 871.9335
1570.555, 873.1038
1572.483, 873.8058
1574.412, 873.2777
1576.340, 872.1837
1578.269, 872.2595
1580.197, 871.6844
1582.125, 871.0695
1584.054, 871.0059
1585.982, 869.3920
1587.911, 870.0867
1589.839, 868.1300
1591.768, 866.5422
1593.696, 864.5694
1595.625, 862.6855
1597.553, 861.0775
1599.482, 858.9870
1601.410, 856.5812
1603.339, 853.7881
1605.267, 851.3274
1607.196, 849.3651
1609.124, 846.9623
1611.052, 844.4342
1612.981, 840.6351
1614.909, 839.1461
1616.838, 836.4629
1618.766, 833.6067
1620.695, 832.5143
1622.623, 828.0636
1624.552, 825.9934
1626.480, 823.9184
1628.409, 821.7369
1630.337, 819.8839
1632.266, 818.0848
1634.194, 813.7936
1636.123, 810.3938
1638.051, 812.0682
1639.979, 811.8992
1641.908, 806.9980
1643.836, 803.6627
1645.765, 801.9650
1647.693, 800.6321
1649.622, 799.3256
1651.550, 796.8436
1653.479, 794.8917
1655.407, 795.0052
1657.336, 794.4554
1659.264, 792.2838
1661.193, 791.2252
1663.121, 790.9366
1665.050, 788.8893
1666.978, 786.3048
1668.906, 784.5431
1670.835, 783.2044
1672.763, 782.3968
1674.692, 780.1214
1676.620, 779.0377
1678.549, 777.8102
1680.477, 776.0432
1682.406, 775.1785
1684.334, 773.6779
1686.263, 771.5903
1688.191, 769.3527
1690.120, 767.7233
1692.048, 767.2745
1693.977, 766.9213
1695.905, 764.5911
1697.833, 762.3422
1699.762, 761.4107
1701.690, 760.7134
1703.619, 759.7852
1705.547, 758.4459
1707.476, 757.7295
1709.404, 756.0574
1711.333, 753.4442
1713.261, 751.5958
1715.190, 749.9814
1717.118, 749.5470
1719.047, 748.6942
1720.975, 747.4005
1722.904, 746.8046
1724.832, 744.9174
1726.760, 744.2960
1728.689, 742.7669
1730.617, 739.7920
1732.546, 737.1818
1734.474, 735.6829
1736.403, 734.4313
1738.331, 733.4069
1740.260, 732.6901
1742.188, 732.3294
1744.117, 730.8963
1746.045, 728.3771
1747.974, 727.1106
1749.902, 722.4873
1751.831, 722.3701
1753.759, 719.9400
1755.688, 715.9680
1757.616, 715.8795
1759.544, 716.8472
1761.473, 714.3832
1763.401, 711.9703
1765.330, 710.9301
1767.258, 709.8915
1769.187, 708.2352
1771.115, 705.0209
1773.044, 701.9493
1774.972, 701.5021
1776.901, 701.1845
1778.829, 699.4260
1780.758, 697.2994
1782.686, 695.6808
1784.615, 693.6288
1786.543, 691.6816
1788.471, 692.2745
1790.400, 692.4238
1792.328, 690.2353
1794.257, 687.4536
1796.185, 685.0518
1798.114, 683.0081
1800.042, 681.7316
1801.971, 679.8769
1803.899, 677.8102
1805.828, 676.7959
1807.756, 674.0712
1809.685, 671.9365
1811.613, 671.1588
1813.542, 671.3204
1815.470, 669.3263
1817.398, 666.6486
1819.327, 664.8831
1821.255, 662.4257
1823.184, 660.8647
1825.112, 659.1843
1827.041, 658.2465
1828.969, 657.0879
1830.898, 656.5671
1832.826, 655.6038
1834.755, 655.7058
1836.683, 657.2772
1838.612, 657.4606
1840.540, 655.2994
1842.469, 650.4238
1844.397, 645.9229
1846.325, 643.3644
1848.254, 642.0272
1850.182, 640.7155
1852.111, 637.6377
1854.039, 635.1524
1855.968, 634.8256
1857.896, 633.3526
1859.825, 630.3468
1861.753, 628.0120
1863.682, 626.5944
1865.610, 625.7069
1867.539, 623.6028
1869.467, 621.0345
1871.396, 619.1832
1873.324, 617.0079
1875.252, 615.2177
1877.181, 613.9763
1879.109, 612.8821
1881.038, 611.7480
1882.966, 609.9113
1884.895, 608.5021
1886.823, 607.8311
1888.752, 606.4580
1890.680, 604.1443
1892.609, 602.5361
1894.537, 600.5564
1896.466, 597.9474
1898.394, 597.8936
1900.323, 597.6920
1902.251, 595.2774
1904.179, 593.5323
1906.108, 591.9175
1908.036, 590.5064
1909.965, 589.6691
1911.893, 588.2423
1913.822, 586.7637
1915.750, 585.5745
1917.679, 584.2275
1919.607, 583.5666
1921.536, 582.2866
1923.464, 579.1725
1925.393, 575.9288
1927.321, 574.4482
1929.250, 572.4920
1931.178, 571.1862
1933.106, 570.3770
1935.035, 569.4279
1936.963, 568.9304
1938.892, 568.0512
1940.820, 565.8718
1942.749, 565.1423
1944.677, 562.6811
1946.606, 562.1710
1948.534, 560.7762
1950.463, 558.5684
1952.391, 555.8569
1954.320, 554.3650
1956.248, 553.0524
1958.177, 549.7933
1960.105, 547.2634
1962.033, 546.0061
1963.962, 544.7402
1965.890, 543.8892
1967.819, 543.0643
1969.747, 540.9910
1971.676, 537.8728
1973.604, 535.5424
1975.533, 534.4631
1977.461, 533.1847
1979.390, 531.6216
1981.318, 530.7396
1983.247, 529.9078
1985.175, 528.9762
1987.104, 526.9318
1989.032, 524.9665
1990.960, 524.8908
1992.889, 524.3195
1994.817, 522.4879
1996.746, 519.7249
1998.674, 517.0591
2000.603, 515.1871
2002.531, 514.2869
2004.460, 513.8132
2006.388, 512.3639
2008.317, 509.8600
2010.245, 506.4531
2012.174, 504.5855
2014.102, 503.0000
2016.031, 502.5591
2017.959, 501.2265
2019.887, 500.0999
2021.816, 499.5426
2023.744, 497.5030
2025.673, 496.3015
2027.601, 494.4136
2029.530, 493.2196
2031.458, 489.6201
2033.387, 490.3866
2035.315, 488.8280
2037.244, 486.3114
2039.172, 486.3804
2041.101, 485.9571
2043.029, 484.4513
2044.958, 481.8998
2046.886, 479.6212
2048.814, 477.4056
2050.743, 475.9693
2052.671, 473.7233
2054.600, 473.1014
2056.528, 470.2894
2058.457, 470.3227
2060.385, 469.7290
2062.314, 468.7422
2064.242, 467.4796
2066.171, 465.4521
2068.099, 463.8688
2070.028, 462.5166
2071.956, 460.6863
2073.885, 459.4826
2075.813, 458.0203
2077.741, 456.6816
2079.670, 455.9451
2081.598, 455.0205
2083.527, 453.8961
2085.455, 453.3158
2087.384, 452.2189
2089.312, 449.2201
2091.241, 446.5641
2093.169, 445.4139
2095.098, 445.0604
2097.026, 445.0336
2098.955, 444.2273
2100.883, 441.8988
2102.812, 439.7066
2104.740, 437.8597
2106.668, 436.2061
2108.597, 435.0930
2110.525, 434.4352
2112.454, 432.6086
2114.382, 431.5923
2116.311, 429.3808
2118.239, 429.0486
2120.168, 427.7806
2122.096, 426.8173
2124.025, 425.0106
2125.953, 423.4094
2127.882, 422.1710
2129.810, 420.9024
2131.739, 420.1786
2133.667, 417.8698
2135.595, 415.6902
2137.524, 415.9077
2139.452, 415.2868
2141.381, 413.3459
2143.309, 412.7471
2145.238, 411.7798
2147.166, 410.2086
2149.095, 409.3799
2151.023, 407.4335
2152.952, 405.4501
2154.880, 404.1770
2156.809, 402.7966
2158.737, 400.9251
2160.666, 400.4751
2162.594, 397.7076
2164.522, 396.2416
2166.451, 395.2620
2168.379, 394.3171
2170.308, 394.8055
2172.236, 393.7524
2174.165, 391.6118
2176.093, 389.5601
2178.022, 386.8539
2179.950, 385.4243
2181.879, 386.1590
2183.807, 385.9585
2185.736, 383.1342
2187.664, 381.2134
2189.593, 381.3636
2191.521, 381.1732
2193.449, 379.3009
2195.378, 377.7499
2197.306, 377.4440
2199.235, 376.0411
2201.163, 374.1427
2203.092, 373.0910
2205.020, 371.0527
2206.949, 369.0939
2208.877, 368.5480
2210.806, 367.8512
2212.734, 367.8157
2214.663, 367.6099
2216.591, 364.6956
2218.520, 362.4355
2220.448, 361.3051
2222.376, 360.0937
2224.305, 358.4303
2226.233, 357.7738
2228.162, 357.4206
2230.090, 356.3237
2232.019, 355.6046
2233.947, 354.6872
2235.876, 353.0862
2237.804, 351.7782
2239.733, 350.6136
2241.661, 349.0240
2243.590, 348.2138
2245.518, 347.9461
2247.447, 347.2061
2249.375, 345.2705
2251.303, 342.9918
2253.232, 341.9572
2255.160, 341.1030
2257.089, 339.3946
2259.017, 339.7844
2260.946, 337.2068
2262.874, 336.4595
2264.803, 336.3480
2266.731, 335.1030
2268.660, 333.9898
2270.588, 332.9776
2272.517, 331.4309
2274.445, 330.2840
2276.374, 329.5084
2278.302, 327.9495
2280.230, 327.4775
2282.159, 325.4892
2284.087, 324.6543
2286.016, 323.9384
2287.944, 323.1626
2289.873, 322.3957
2291.801, 321.0620
2293.730, 320.3869
2295.658, 317.9049
2297.587, 318.2206
2299.515, 317.5395
2301.444, 315.5597
2303.372, 313.6833
2305.301, 311.5899
2307.229, 310.4872
2309.157, 310.3236
2311.086, 309.5474
2313.014, 309.0176
2314.943, 308.1519
2316.871, 307.1210
2318.800, 306.0957
2320.728, 304.6978
2322.657, 303.4416
2324.585, 301.6366
2326.514, 299.7949
2328.442, 298.0928
2330.371, 298.3880
2332.299, 297.9788
2334.228, 295.7978
2336.156, 294.6863
2338.084, 292.6071
2340.013, 291.3495
2341.941, 292.2548
2343.870, 291.4350
2345.798, 289.6104
2347.727, 288.3763
2349.655, 287.2574
2351.584, 286.5425
2353.512, 286.0778
2355.441, 284.9582
2357.369, 283.6240
2359.298, 283.4444
2361.226, 282.4529
2363.155, 280.8839
2365.083, 279.8744
2367.011, 280.0033
2368.940, 279.6046
2370.868, 278.2213
2372.797, 276.8732
2374.725, 274.9819
2376.654, 273.9994
2378.582, 273.9221
2380.511, 273.4077
2382.439, 272.4077
2384.368, 271.7357
2386.296, 271.3137
