##NAMES=Miyawakiite-(Y)
##RRUFFID=R250122
##IDEAL CHEMISTRY=[box]Y_4_Fe_2_(Si_8_O_20_)(CO_3_)_4_(H_2_O)_3_
##LOCALITY=Suishoyama, Kawamata, Fukushima, Japan
##OWNER=National Museum of Nature and Science, Tsukuba, Japan
##SOURCE=Daisuke Nishio-Hamane
##DESCRIPTION=Transparent  pale-yellow tiny crystals of granular, plate-like, or columnar shape. Type sample, described in Nishio-Hamane et al (2024)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R250122
##MEASURED CHEMISTRY=([box]_0.70_K_0.30_)(Y_2.95_Dy_0.21_Yb_0.12_Er_0.10_Gd_0.08_Sm_0.02_Tb_0.01_Ca_0.33_)(Fe^2+^_1.14_Mg_0.48_Mn_0.24_)Si_8_C_4_O_31.42_[(H_2_O)_2.70_(OH)_0.30_] ; Calculated on the basis of 4 C and 8 Si atoms per formula unit (apfu)
##DIFFRACTION SAMPLE DESCRIPTION=Single crystal, powder profile is calculated
##CELL PARAMETERS=a: 17.53637 b: 17.53637 c: 9.55702 alpha: 90 beta: 90 gamma: 90 volume: 2939.02 crystal system: tetragonal
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532


#Wave,#Intensity
971.85938,54631.33984
973.60938,55062.11328
975.36133,54880.62891
977.11133,54991.23438
978.86133,54943.76563
980.61133,55044.54297
982.35938,54957.51172
984.10938,55222.19531
985.85742,55465.79297
987.60547,55518.69922
989.35352,55479.74609
991.09961,55101.44141
992.84766,55480.96875
994.59375,55333.05469
996.33984,55572.72266
998.08594,55931.35938
999.83203,56734.58203
1001.57617,57209.70313
1003.32227,57377.75
1005.06641,56958.10156
1006.81055,56553.85156
1008.55273,56193.34766
1010.29688,56222.42188
1012.03906,56376.24219
1013.78125,56209.69922
1015.52344,56098.39063
1017.26563,56616.8125
1019.00781,56287.04688
1020.74805,56622.67188
1022.48828,56559.59766
1024.22852,56292.0625
1025.96875,56833.78125
1027.70898,57198.19922
1029.44727,57226.09766
1031.18555,57354.88281
1032.92383,57468.08984
1034.66211,57504.57813
1036.40039,57930.65234
1038.13672,57618.83594
1039.875,57601.32031
1041.61133,58060.39844
1043.34766,57916.3125
1045.08203,58115.17969
1046.81836,58194.54688
1048.55273,58525.97656
1050.28711,58481.55078
1052.02148,58491.23438
1053.75586,58542.23828
1055.49023,58264.05078
1057.22266,58687.05859
1058.95508,58713.89063
1060.6875,58670.84766
1062.41992,58833.18359
1064.15234,59416.44922
1065.88281,59093.83203
1067.61328,59757.32422
1069.34375,59778.68359
1071.07422,60097.05078
1072.80469,60192.75
1074.5332,60355.625
1076.26367,60354.25391
1077.99219,60344.30469
1079.7207,60966.15234
1081.44727,60603.17969
1083.17578,61025.13281
1084.90234,61078.23828
1086.62891,61112.76172
1088.35547,61532.22266
1090.08203,61143.20313
1091.80859,61445.45313
1093.5332,61856.65234
1095.25781,61938.62109
1096.98242,62195.38672
1098.70703,63092.71094
1100.43164,63249.50781
1102.1543,64114.46484
1103.87891,65527.46484
1105.60156,67586.36719
1107.32422,69400.875
1109.04492,71866.04688
1110.76758,72171.25781
1112.48828,70458.64844
1114.20898,67741.85938
1115.92969,65672.91406
1117.65039,64339.82422
1119.36914,62797.875
1121.08984,62243.76172
1122.80859,62180.88672
1124.52734,61865
1126.24609,61198.17969
1127.96484,61674.28125
1129.68164,61569.50391
1131.39844,61280.53516
1133.11523,61516.64844
1134.83203,61357.06641
1136.54883,61456.53125
1138.26367,61308.38281
1139.98047,61606.61328
1141.69531,61089.66797
1143.41016,61573.82813
1145.125,61660.45313
1146.83789,61272.90234
1148.55078,61134.59375
1150.26563,61333.64453
1151.97852,61886.14063
1153.69141,61446.35938
1155.40234,61658.57813
1157.11523,61463.89844
1158.82617,61544.84375
1160.53711,61825.07031
1162.24805,61946.55859
1163.95898,61610.19922
1165.66797,61684.00781
1167.37695,61713.04688
1169.08789,61584.54688
1170.79492,61996.67188
1172.50391,61813.22266
1174.21289,62251.60156
1175.91992,62137.55469
1177.62695,61961.24219
1179.33398,62541.74609
1181.04102,63038.53906
1182.74805,63263.34375
1184.45313,63657.67188
1186.16016,63952.22266
1187.86523,63447.17578
1189.57031,63634.56641
1191.27344,63533.60938
1192.97852,63944.34375
1194.68164,63392.44922
1196.38477,63411.73438
1198.08789,62933.46484
1199.79102,62724.86328
1201.49414,63031.35156
1203.19531,63111.52734
1204.89844,63111.88281
1206.59961,63511.57422
1208.29883,63446.64453
1210,63547.30078
1211.70117,63614.57422
1213.40039,63838.83984
1215.09961,64005.04688
1216.79883,64379.24219
1218.49805,64392.92578
1220.19531,64520.07031
1221.89453,64728.73828
1223.5918,65163.05859
1225.28906,65146.33594
1226.98633,64930.14453
1228.68164,65340.01563
1230.37891,65444.19531
1232.07422,65433.32813
1233.76953,65262.17188
1235.46484,65002.03516
1237.16016,64988.13672
1238.85547,65034.01172
1240.54883,65254.90234
1242.24219,64907.00781
1243.93555,64926.61719
1245.62891,65108.21484
1247.32031,65948.14844
1249.01367,65819.07813
1250.70508,65771.71094
1252.39648,65790.04688
1254.08789,66081.55469
1255.7793,65927.54688
1257.46875,65995.60156
1259.16016,65679.24219
1260.84961,66340.85938
1262.53906,66195.53125
1264.22852,66481.625
1265.91602,66702
1267.60547,66458.60156
1269.29297,66273.63281
1270.98047,66445.78906
1272.66797,66215.34375
1274.35547,66717.0625
1276.04102,66742.92188
1277.72656,66496.26563
1279.41211,66196.74219
1281.09766,66904.07813
1282.7832,66839.08594
1284.46875,67109.85938
1286.15234,66924.60156
1287.83594,67126.55469
1289.52148,67206.79688
1291.20313,67460.25781
1292.88672,67769.59375
1294.57031,67717.86719
1296.25195,67783.60938
1297.93359,67759.76563
1299.61523,67724.14844
1301.29688,68210.19531
1302.97656,67973.28906
1304.6582,67917.10938
1306.33789,67578.57031
1308.01758,68038.50781
1309.69727,67976.40625
1311.37695,67703.86719
1313.05469,67919.80469
1314.73242,67489.625
1316.41016,67521.5625
1318.08789,67339.98438
1319.76563,67710.67188
1321.44336,67941.55469
1323.11914,67720.14844
1324.79492,67794.89063
1326.4707,67751.72656
1328.14648,67639.24219
1329.82227,67697.78125
1331.49609,67567.52344
1333.17188,67549.34375
1334.8457,67780.54688
1336.51953,67512.9375
1338.19336,67881.52344
1339.86523,67968.21875
1341.53906,67916.10938
1343.21094,68515.46094
1344.88281,68408.76563
1346.55469,68287.24219
1348.22656,68641.65625
1349.89648,68835.04688
1351.56641,68218.10938
1353.23633,68393.74219
1354.90625,68471.78906
1356.57617,68521.75781
1358.24609,68855.92188
1359.91406,68901.53906
1361.58398,68574.02344
1363.25195,68846.19531
1364.91797,69079.96094
1366.58594,68487.04688
1368.25391,69027.59375
1369.91992,68853.90625
1371.58594,68675.6875
1373.25195,69001.57813
1374.91797,68820.34375
1376.58398,68870.45313
1378.24805,69181.74219
1379.91211,69169.61719
1381.57617,69124.8125
1383.24023,68983.47656
1384.9043,69119.79688
1386.56836,69487.89063
1388.23047,69371.78906
1389.89258,69335.88281
1391.55469,69369.8125
1393.2168,69391.85938
1394.87891,69233.98438
1396.53906,69629.3125
1398.19922,69486.28906
1399.86133,69704.76563
1401.51953,69326.55469
1403.17969,70139.00781
1404.83984,70025.73438
1406.49805,69872.20313
1408.15625,69818.39063
1409.81445,70341.10938
1411.47266,69917.82031
1413.13086,70284.27344
1414.78906,70440.6875
1416.44531,70054.41406
1418.10156,70388.30469
1419.75781,70212.17969
1421.41406,70620.83594
1423.06836,70362.59375
1424.72461,70792.34375
1426.37891,70790.8125
1428.0332,70892.30469
1429.6875,71144.6875
1431.3418,71285.13281
1432.99414,71781.25
1434.64844,71793.35156
1436.30078,71896.64063
1437.95313,71786.15625
1439.60547,72190.0625
1441.25586,72166.34375
1442.9082,72580.96094
1444.55859,72135.32031
1446.20898,72553.09375
1447.85938,72319.82813
1449.50977,72859.08594
1451.16016,72715.64063
1452.80859,73367.55469
1454.45703,72530.4375
1456.10547,72661.05469
1457.75391,73079.52344
1459.40234,73133.84375
1461.04883,73282.65625
1462.69727,73131.55469
1464.34375,73275.92188
1465.99023,73381.33594
1467.63672,73027.53906
1469.28125,72925.77344
1470.92773,72974.10938
1472.57227,72827.22656
1474.2168,72681.78906
1475.86133,72174.21094
1477.50586,72695.75781
1479.15039,72679.4375
1480.79297,72191.07031
1482.43555,72164.10938
1484.07813,72316.10156
1485.7207,72513.28125
1487.36328,72186.9375
1489.00391,72348.04688
1490.64648,72385.79688
1492.28711,72367.84375
1493.92773,72170.6875
1495.56836,72923.82813
1497.20703,72661.92188
1498.84766,72705.77344
1500.48633,72302.03125
1502.125,73004.5625
1503.76367,72487.625
1505.40234,73229.69531
1507.03906,72878.5
1508.67773,72736.85938
1510.31445,72485
1511.95117,72767.32813
1513.58789,73232.42969
1515.22461,72929.16406
1516.85938,72870.42969
1518.49609,73190.82031
1520.13086,72911.51563
1521.76563,73564.50781
1523.40039,73117.375
1525.0332,72777.39063
1526.66797,73439.82813
1528.30078,73255.54688
1529.93359,73287.50781
1531.56641,73357.3125
1533.19922,73233.42188
1534.83203,73615.07031
1536.46289,73509.33594
1538.09375,73568.625
1539.72461,73562.80469
1541.35547,73728.17188
1542.98633,73914.82031
1544.61719,73966.64844
1546.24609,73587.96094
1547.875,73710.99219
1549.50391,73929.625
1551.13281,74075.53125
1552.76172,74063.70313
1554.38867,73843.95313
1556.01758,74024.82813
1557.64453,74211.85156
1559.27148,74584.20313
1560.89844,74238.30469
1562.52344,74595.61719
1564.15039,74286.03125
1565.77539,74531.03125
1567.40039,74347.46094
1569.02539,74229.1875
1570.65039,74764.77344
1572.27539,74701.28906
1573.89844,75211.32031
1575.52148,74898.33594
1577.14453,75221.41406
1578.76758,75395.42969
1580.39063,75595.39844
1582.01367,75679.71094
1583.63477,76012.33594
1585.25586,75187.17969
1586.87695,75242.48438
1588.49805,75677.33594
1590.11914,75673.30469
1591.73828,75315.5
1593.35938,75558.45313
1594.97852,75732.85938
1596.59766,75995.82813
1598.2168,76593.13281
1599.83398,76442.71875
1601.45313,77145.69531
1603.07031,77415.26563
1604.6875,77894.20313
1606.30469,78190.00781
1607.92188,79075.75
1609.53906,78836.99219
1611.1543,78621.0625
1612.76953,78331.64844
1614.38672,77705.65625
1616.00195,77656.0625
1617.61523,77026.60156
1619.23047,76735.0625
1620.84375,76728.08594
1622.45898,76342.96875
1624.07227,76202.67969
1625.68555,76149.625
1627.29688,76160.88281
1628.91016,76006.66406
1630.52148,76094.50781
1632.13281,75938.67188
1633.74414,75624.85156
1635.35547,75712.66406
1636.9668,75771.35938
1638.57813,75917.52344
1640.1875,75675.53906
1641.79688,75273.83594
1643.40625,75510.53906
1645.01563,75494
1646.625,75551.16406
1648.23242,75866.39844
1649.83984,75553.40625
1651.44922,75733.53125
1653.05664,75561.77344
1654.66211,76212.375
1656.26953,75388.6875
1657.87695,76227.14844
1659.48242,76110.70313
1661.08789,75649.5625
1662.69336,75843.79688
1664.29883,75631.75
1665.90234,76247.88281
1667.50781,75373.69531
1669.11133,75646.5625
1670.71484,76329.30469
1672.31836,75924.51563
1673.92188,75809.28906
1675.52539,76369.16406
1677.12695,76685.66406
1678.72852,76197.32813
1680.33008,76376.64063
1681.93164,76738.07031
1683.5332,76613.57813
