##NAMES=Pseudomalachite
##RRUFFID=R050264
##IDEAL CHEMISTRY=Cu_5_(PO_4_)_2_(OH)_4_
##LOCALITY=Cerro Morita, 27 km southwest of Agua Prieta, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Blue powdery crust
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R050264
##MEASURED CHEMISTRY=(Cu_4.91_Al_0.04_[box]_0.03_Ca_0.02_)(P_1.98_S_0.02_)O_8_(OH)_4_ ; light phase
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532

8.326459e+002, 5.205643e+003
8.345743e+002, 5.227296e+003
8.365028e+002, 5.241440e+003
8.384313e+002, 5.245140e+003
8.403597e+002, 5.249991e+003
8.422882e+002, 5.257078e+003
8.442167e+002, 5.265114e+003
8.461451e+002, 5.272978e+003
8.480736e+002, 5.280347e+003
8.500021e+002, 5.286980e+003
8.519305e+002, 5.290551e+003
8.538590e+002, 5.294892e+003
8.557875e+002, 5.304125e+003
8.577159e+002, 5.320434e+003
8.596444e+002, 5.338033e+003
8.615729e+002, 5.360976e+003
8.635013e+002, 5.383045e+003
8.654298e+002, 5.398556e+003
8.673583e+002, 5.406795e+003
8.692867e+002, 5.415024e+003
8.712152e+002, 5.425590e+003
8.731437e+002, 5.436115e+003
8.750721e+002, 5.444928e+003
8.770006e+002, 5.452159e+003
8.789291e+002, 5.456634e+003
8.808575e+002, 5.457618e+003
8.827860e+002, 5.456256e+003
8.847145e+002, 5.451732e+003
8.866429e+002, 5.443771e+003
8.885714e+002, 5.439755e+003
8.904999e+002, 5.442348e+003
8.924283e+002, 5.447835e+003
8.943568e+002, 5.454751e+003
8.962853e+002, 5.464169e+003
8.982137e+002, 5.469625e+003
9.001422e+002, 5.467577e+003
9.020707e+002, 5.464646e+003
9.039991e+002, 5.466011e+003
9.059276e+002, 5.471362e+003
9.078561e+002, 5.473070e+003
9.097845e+002, 5.466552e+003
9.117130e+002, 5.461976e+003
9.136415e+002, 5.464415e+003
9.155699e+002, 5.474233e+003
9.174984e+002, 5.485593e+003
9.194269e+002, 5.498943e+003
9.213553e+002, 5.512750e+003
9.232838e+002, 5.526264e+003
9.252123e+002, 5.539119e+003
9.271407e+002, 5.551768e+003
9.290692e+002, 5.565485e+003
9.309976e+002, 5.576422e+003
9.329261e+002, 5.581120e+003
9.348546e+002, 5.582062e+003
9.367830e+002, 5.585717e+003
9.387115e+002, 5.594619e+003
9.406400e+002, 5.604356e+003
9.425684e+002, 5.613539e+003
9.444969e+002, 5.623353e+003
9.464254e+002, 5.636481e+003
9.483538e+002, 5.652106e+003
9.502823e+002, 5.672068e+003
9.522108e+002, 5.697714e+003
9.541392e+002, 5.727503e+003
9.560677e+002, 5.759429e+003
9.579962e+002, 5.793592e+003
9.599246e+002, 5.828001e+003
9.618531e+002, 5.861736e+003
9.637816e+002, 5.895302e+003
9.657100e+002, 5.929449e+003
9.676385e+002, 5.967433e+003
9.695670e+002, 5.998343e+003
9.714954e+002, 6.022997e+003
9.734239e+002, 6.039601e+003
9.753524e+002, 6.044055e+003
9.772808e+002, 6.037086e+003
9.792093e+002, 6.028213e+003
9.811378e+002, 6.016663e+003
9.830662e+002, 6.006811e+003
9.849947e+002, 6.000210e+003
9.869232e+002, 5.997278e+003
9.888516e+002, 6.001705e+003
9.907801e+002, 6.019751e+003
9.927086e+002, 6.039610e+003
9.946370e+002, 6.059291e+003
9.965655e+002, 6.077786e+003
9.984940e+002, 6.091542e+003
1.000422e+003, 6.101701e+003
1.002351e+003, 6.102822e+003
1.004279e+003, 6.087570e+003
1.006208e+003, 6.061807e+003
1.008136e+003, 6.035086e+003
1.010065e+003, 6.007410e+003
1.011993e+003, 5.979738e+003
1.013922e+003, 5.952243e+003
1.015850e+003, 5.926782e+003
1.017779e+003, 5.905311e+003
1.019707e+003, 5.888627e+003
1.021636e+003, 5.878610e+003
1.023564e+003, 5.879190e+003
1.025493e+003, 5.884376e+003
1.027421e+003, 5.889038e+003
1.029349e+003, 5.892983e+003
1.031278e+003, 5.901084e+003
1.033206e+003, 5.914039e+003
1.035135e+003, 5.929613e+003
1.037063e+003, 5.946586e+003
1.038992e+003, 5.964659e+003
1.040920e+003, 5.983046e+003
1.042849e+003, 6.001822e+003
1.044777e+003, 6.020744e+003
1.046706e+003, 6.040426e+003
1.048634e+003, 6.060369e+003
1.050563e+003, 6.079760e+003
1.052491e+003, 6.099687e+003
1.054420e+003, 6.116578e+003
1.056348e+003, 6.128292e+003
1.058276e+003, 6.137354e+003
1.060205e+003, 6.146224e+003
1.062133e+003, 6.155143e+003
1.064062e+003, 6.164000e+003
1.065990e+003, 6.170070e+003
1.067919e+003, 6.179244e+003
1.069847e+003, 6.192749e+003
1.071776e+003, 6.210208e+003
1.073704e+003, 6.240535e+003
1.075633e+003, 6.288034e+003
1.077561e+003, 6.340725e+003
1.079490e+003, 6.403489e+003
1.081418e+003, 6.466193e+003
1.083347e+003, 6.507749e+003
1.085275e+003, 6.527591e+003
1.087203e+003, 6.527138e+003
1.089132e+003, 6.498668e+003
1.091060e+003, 6.455887e+003
1.092989e+003, 6.409946e+003
1.094917e+003, 6.357596e+003
1.096846e+003, 6.315763e+003
1.098774e+003, 6.284899e+003
1.100703e+003, 6.264015e+003
1.102631e+003, 6.253890e+003
1.104560e+003, 6.254111e+003
1.106488e+003, 6.254330e+003
1.108417e+003, 6.252155e+003
1.110345e+003, 6.250401e+003
1.112273e+003, 6.253083e+003
1.114202e+003, 6.256193e+003
1.116130e+003, 6.251256e+003
1.118059e+003, 6.235285e+003
1.119987e+003, 6.223271e+003
1.121916e+003, 6.224858e+003
1.123844e+003, 6.230433e+003
1.125773e+003, 6.230703e+003
1.127701e+003, 6.222329e+003
1.129630e+003, 6.220021e+003
1.131558e+003, 6.224978e+003
1.133487e+003, 6.233374e+003
1.135415e+003, 6.242854e+003
1.137344e+003, 6.253405e+003
1.139272e+003, 6.266760e+003
1.141200e+003, 6.283898e+003
1.143129e+003, 6.300131e+003
1.145057e+003, 6.311121e+003
1.146986e+003, 6.320605e+003
1.148914e+003, 6.334809e+003
1.150843e+003, 6.355775e+003
1.152771e+003, 6.371605e+003
1.154700e+003, 6.377648e+003
1.156628e+003, 6.380411e+003
1.158557e+003, 6.383685e+003
1.160485e+003, 6.387896e+003
1.162414e+003, 6.390466e+003
1.164342e+003, 6.390084e+003
1.166271e+003, 6.391155e+003
1.168199e+003, 6.396388e+003
1.170127e+003, 6.404093e+003
1.172056e+003, 6.410274e+003
1.173984e+003, 6.414344e+003
1.175913e+003, 6.421079e+003
1.177841e+003, 6.433007e+003
1.179770e+003, 6.446924e+003
1.181698e+003, 6.459729e+003
1.183627e+003, 6.471198e+003
1.185555e+003, 6.485350e+003
1.187484e+003, 6.505445e+003
1.189412e+003, 6.522817e+003
1.191341e+003, 6.532028e+003
1.193269e+003, 6.536349e+003
1.195198e+003, 6.543927e+003
1.197126e+003, 6.559030e+003
1.199054e+003, 6.570314e+003
1.200983e+003, 6.575719e+003
1.202911e+003, 6.579299e+003
1.204840e+003, 6.584017e+003
1.206768e+003, 6.590153e+003
1.208697e+003, 6.597279e+003
1.210625e+003, 6.605318e+003
1.212554e+003, 6.614677e+003
1.214482e+003, 6.626598e+003
1.216411e+003, 6.639167e+003
1.218339e+003, 6.649414e+003
1.220268e+003, 6.656978e+003
1.222196e+003, 6.662561e+003
1.224125e+003, 6.664369e+003
1.226053e+003, 6.666322e+003
1.227981e+003, 6.671412e+003
1.229910e+003, 6.679906e+003
1.231838e+003, 6.687683e+003
1.233767e+003, 6.693736e+003
1.235695e+003, 6.701019e+003
1.237624e+003, 6.710081e+003
1.239552e+003, 6.720427e+003
1.241481e+003, 6.730951e+003
1.243409e+003, 6.741140e+003
1.245338e+003, 6.753408e+003
1.247266e+003, 6.771050e+003
1.249195e+003, 6.787226e+003
1.251123e+003, 6.796862e+003
1.253052e+003, 6.802309e+003
1.254980e+003, 6.810612e+003
1.256908e+003, 6.823300e+003
1.258837e+003, 6.836147e+003
1.260765e+003, 6.848598e+003
1.262694e+003, 6.859854e+003
1.264622e+003, 6.868269e+003
1.266551e+003, 6.872422e+003
1.268479e+003, 6.880073e+003
1.270408e+003, 6.895743e+003
1.272336e+003, 6.909786e+003
1.274265e+003, 6.918829e+003
1.276193e+003, 6.925552e+003
1.278122e+003, 6.934577e+003
1.280050e+003, 6.946202e+003
1.281979e+003, 6.960372e+003
1.283907e+003, 6.978009e+003
1.285835e+003, 6.996461e+003
1.287764e+003, 7.012815e+003
1.289692e+003, 7.027415e+003
1.291621e+003, 7.043585e+003
1.293549e+003, 7.062804e+003
1.295478e+003, 7.078114e+003
1.297406e+003, 7.083119e+003
1.299335e+003, 7.086721e+003
1.301263e+003, 7.098022e+003
1.303192e+003, 7.119519e+003
1.305120e+003, 7.134581e+003
1.307049e+003, 7.140417e+003
1.308977e+003, 7.144039e+003
1.310906e+003, 7.145823e+003
1.312834e+003, 7.147380e+003
1.314762e+003, 7.151008e+003
1.316691e+003, 7.156705e+003
1.318619e+003, 7.164753e+003
1.320548e+003, 7.177186e+003
1.322476e+003, 7.189359e+003
1.324405e+003, 7.199042e+003
1.326333e+003, 7.206438e+003
1.328262e+003, 7.212250e+003
1.330190e+003, 7.215909e+003
1.332119e+003, 7.220497e+003
1.334047e+003, 7.228048e+003
1.335976e+003, 7.236200e+003
1.337904e+003, 7.243105e+003
1.339833e+003, 7.249296e+003
1.341761e+003, 7.257189e+003
1.343689e+003, 7.267065e+003
1.345618e+003, 7.276989e+003
1.347546e+003, 7.284933e+003
1.349475e+003, 7.293120e+003
1.351403e+003, 7.304412e+003
1.353332e+003, 7.319630e+003
1.355260e+003, 7.332733e+003
1.357189e+003, 7.341301e+003
1.359117e+003, 7.352638e+003
1.361046e+003, 7.370625e+003
1.362974e+003, 7.391080e+003
1.364903e+003, 7.408516e+003
1.366831e+003, 7.421637e+003
1.368760e+003, 7.431171e+003
1.370688e+003, 7.431475e+003
1.372616e+003, 7.432814e+003
1.374545e+003, 7.443817e+003
1.376473e+003, 7.456291e+003
1.378402e+003, 7.457333e+003
1.380330e+003, 7.447234e+003
1.382259e+003, 7.440410e+003
1.384187e+003, 7.441263e+003
1.386116e+003, 7.445380e+003
1.388044e+003, 7.450832e+003
1.389973e+003, 7.457720e+003
1.391901e+003, 7.467008e+003
1.393830e+003, 7.479181e+003
1.395758e+003, 7.487287e+003
1.397687e+003, 7.483958e+003
1.399615e+003, 7.481728e+003
1.401543e+003, 7.486899e+003
1.403472e+003, 7.497136e+003
1.405400e+003, 7.505958e+003
1.407329e+003, 7.514646e+003
1.409257e+003, 7.520536e+003
1.411186e+003, 7.520491e+003
1.413114e+003, 7.522089e+003
1.415043e+003, 7.530103e+003
1.416971e+003, 7.543112e+003
1.418900e+003, 7.556133e+003
1.420828e+003, 7.568662e+003
1.422757e+003, 7.581045e+003
1.424685e+003, 7.592316e+003
1.426614e+003, 7.603607e+003
1.428542e+003, 7.614649e+003
1.430470e+003, 7.626482e+003
1.432399e+003, 7.642911e+003
1.434327e+003, 7.666306e+003
1.436256e+003, 7.685593e+003
1.438184e+003, 7.696995e+003
1.440113e+003, 7.705711e+003
1.442041e+003, 7.712122e+003
1.443970e+003, 7.717472e+003
1.445898e+003, 7.726020e+003
1.447827e+003, 7.738008e+003
1.449755e+003, 7.747189e+003
1.451684e+003, 7.751649e+003
1.453612e+003, 7.753057e+003
1.455541e+003, 7.752526e+003
1.457469e+003, 7.750904e+003
1.459397e+003, 7.749196e+003
1.461326e+003, 7.747752e+003
1.463254e+003, 7.750246e+003
1.465183e+003, 7.762300e+003
1.467111e+003, 7.773987e+003
1.469040e+003, 7.778584e+003
1.470968e+003, 7.779494e+003
1.472897e+003, 7.785732e+003
1.474825e+003, 7.800931e+003
1.476754e+003, 7.812373e+003
1.478682e+003, 7.816174e+003
1.480611e+003, 7.820686e+003
1.482539e+003, 7.829296e+003
1.484468e+003, 7.841002e+003
1.486396e+003, 7.854097e+003
1.488324e+003, 7.868741e+003
1.490253e+003, 7.881910e+003
1.492181e+003, 7.889416e+003
1.494110e+003, 7.897838e+003
1.496038e+003, 7.910923e+003
1.497967e+003, 7.924336e+003
1.499895e+003, 7.933254e+003
1.501824e+003, 7.938344e+003
1.503752e+003, 7.937875e+003
1.505681e+003, 7.928784e+003
1.507609e+003, 7.923500e+003
1.509538e+003, 7.930836e+003
1.511466e+003, 7.943422e+003
1.513395e+003, 7.953156e+003
1.515323e+003, 7.960968e+003
1.517251e+003, 7.972390e+003
1.519180e+003, 7.987571e+003
1.521108e+003, 8.003427e+003
1.523037e+003, 8.017279e+003
1.524965e+003, 8.029774e+003
1.526894e+003, 8.041299e+003
1.528822e+003, 8.050784e+003
1.530751e+003, 8.056771e+003
1.532679e+003, 8.059497e+003
1.534608e+003, 8.061026e+003
1.536536e+003, 8.064752e+003
1.538465e+003, 8.069211e+003
1.540393e+003, 8.073975e+003
1.542322e+003, 8.081291e+003
1.544250e+003, 8.094144e+003
1.546178e+003, 8.112374e+003
1.548107e+003, 8.135197e+003
1.550035e+003, 8.159101e+003
1.551964e+003, 8.186178e+003
1.553892e+003, 8.218898e+003
1.555821e+003, 8.250626e+003
1.557749e+003, 8.273056e+003
1.559678e+003, 8.285020e+003
1.561606e+003, 8.294442e+003
1.563535e+003, 8.303996e+003
